merchant_id,merchant_category,merchant_risk_score,channel_default
M100466,Grocery,0.137,Card Present
M100467,Gaming,0.388,Card Present
M100468,Gaming,0.083,P2P
M100469,Grocery,0.058,Card Present
M100470,Gaming,0.069,Online Banking
M100471,Digital Wallet,0.228,Card Present
M100472,Fuel,0.398,Card Present
M100473,Electronics,0.012,Wire
M100474,Gaming,0.487,Card Present
M100475,Fuel,0.188,Card Present
M100476,Travel,0.427,Card Not Present
M100477,Telecom,0.475,P2P
M100478,Telecom,0.561,P2P
M100479,Telecom,0.374,P2P
M100480,Luxury,0.261,Wire
M100481,Fuel,0.479,Online Banking
M100482,Fuel,0.23,P2P
M100483,Grocery,0.44,Online Banking
M100484,Gaming,0.074,Card Not Present
M100485,Grocery,0.364,Wire
M100486,Fuel,0.122,Online Banking
M100487,Fuel,0.075,Card Present
M100488,Grocery,0.271,Card Present
M100489,Utilities,0.07,Card Not Present
M100490,Grocery,0.299,P2P
M100491,Electronics,0.148,P2P
M100492,Telecom,0.176,P2P
M100493,Gaming,0.377,Card Present
M100494,Digital Wallet,0.163,Wire
M100495,Marketplace,0.583,P2P
M100496,Marketplace,0.263,Card Not Present
M100497,Utilities,0.175,Wire
M100498,Gaming,0.024,P2P
M100499,Utilities,0.216,Card Present
M100500,Digital Wallet,0.135,Online Banking
M100501,Grocery,0.183,P2P
M100502,Luxury,0.155,Online Banking
M100503,Gaming,0.295,Card Present
M100504,Utilities,0.111,Card Not Present
M100505,Gaming,0.249,Card Not Present
M100506,Marketplace,0.12,Wire
M100507,Electronics,0.02,Card Present
M100508,Travel,0.309,Online Banking
M100509,Digital Wallet,0.478,Card Not Present
M100510,Travel,0.07,Card Present
M100511,Grocery,0.567,Online Banking
M100512,Electronics,0.475,Card Not Present
M100513,Electronics,0.121,P2P
M100514,Gaming,0.232,P2P
M100515,Luxury,0.206,Card Present
M100516,Electronics,0.443,Card Not Present
M100517,Luxury,0.077,Online Banking
M100518,Electronics,0.286,Card Not Present
M100519,Electronics,0.075,Card Present
M100520,Electronics,0.528,Card Not Present
M100521,Marketplace,0.247,Card Not Present
M100522,Travel,0.37,Card Present
M100523,Fuel,0.121,Wire
M100524,Utilities,0.234,Online Banking
M100525,Luxury,0.054,Card Present
M100526,Electronics,0.259,Card Present
M100527,Travel,0.458,Wire
M100528,Utilities,0.269,Wire
M100529,Grocery,0.193,P2P
M100530,Luxury,0.073,Card Not Present
M100531,Luxury,0.097,Card Present
M100532,Luxury,0.068,Wire
M100533,Utilities,0.121,P2P
M100534,Electronics,0.117,P2P
M100535,Digital Wallet,0.068,Wire
M100536,Luxury,0.632,P2P
M100537,Marketplace,0.063,Online Banking
M100538,Grocery,0.45,Card Present
M100539,Telecom,0.162,Card Present
M100540,Luxury,0.067,Online Banking
M100541,Utilities,0.08,P2P
M100542,Gaming,0.134,Card Not Present
M100543,Utilities,0.147,Card Not Present
M100544,Luxury,0.201,P2P
M100545,Marketplace,0.213,Card Present
M100546,Grocery,0.168,Card Not Present
M100547,Fuel,0.354,Card Present
M100548,Gaming,0.033,Wire
M100549,Electronics,0.053,Card Present
M100550,Telecom,0.198,P2P
M100551,Telecom,0.319,Online Banking
M100552,Gaming,0.686,Card Not Present
M100553,Utilities,0.376,Online Banking
M100554,Travel,0.181,Card Present
M100555,Fuel,0.427,Card Present
M100556,Telecom,0.378,Card Not Present
M100557,Electronics,0.292,Card Present
M100558,Utilities,0.114,Card Present
M100559,Gaming,0.513,Online Banking
M100560,Digital Wallet,0.313,Card Not Present
M100561,Utilities,0.08,Online Banking
M100562,Fuel,0.213,Online Banking
M100563,Fuel,0.225,Wire
M100564,Utilities,0.08,Card Present
M100565,Grocery,0.366,Card Present
M100566,Utilities,0.244,Card Present
M100567,Telecom,0.332,Wire
M100568,Electronics,0.291,Wire
M100569,Electronics,0.299,Card Present
M100570,Fuel,0.165,Card Present
M100571,Utilities,0.397,Card Not Present
M100572,Luxury,0.241,P2P
M100573,Travel,0.625,Card Present
M100574,Grocery,0.329,P2P
M100575,Grocery,0.071,P2P
M100576,Grocery,0.176,Wire
M100577,Digital Wallet,0.508,Card Not Present
M100578,Grocery,0.191,Wire
M100579,Telecom,0.138,Wire
M100580,Luxury,0.078,Wire
M100581,Marketplace,0.078,Wire
M100582,Gaming,0.159,P2P
M100583,Fuel,0.474,Card Not Present
M100584,Grocery,0.286,Online Banking
M100585,Utilities,0.355,Wire
M100586,Grocery,0.183,Wire
M100587,Utilities,0.221,Card Not Present
M100588,Gaming,0.451,Wire
M100589,Grocery,0.266,Wire
M100590,Gaming,0.046,Online Banking
M100591,Luxury,0.521,Wire
M100592,Digital Wallet,0.66,Card Not Present
M100593,Luxury,0.143,Card Not Present
M100594,Grocery,0.313,Online Banking
M100595,Grocery,0.094,P2P
M100596,Marketplace,0.502,Wire
M100597,Utilities,0.721,Online Banking
M100598,Gaming,0.1,Wire
M100599,Digital Wallet,0.25,Card Present
M100600,Electronics,0.337,Wire
M100601,Grocery,0.088,Online Banking
M100602,Fuel,0.077,Card Not Present
M100603,Grocery,0.091,Online Banking
M100604,Fuel,0.461,P2P
M100605,Grocery,0.16,Card Present
M100606,Electronics,0.251,Online Banking
M100607,Fuel,0.113,P2P
M100608,Electronics,0.269,Card Present
M100609,Grocery,0.415,Online Banking
M100610,Fuel,0.309,Wire
M100611,Digital Wallet,0.072,Card Not Present
M100612,Utilities,0.483,Card Not Present
M100613,Gaming,0.191,Online Banking
M100614,Utilities,0.053,Card Not Present
M100615,Telecom,0.131,P2P
M100616,Gaming,0.282,P2P
M100617,Luxury,0.135,Card Not Present
M100618,Telecom,0.561,Online Banking
M100619,Luxury,0.673,P2P
M100620,Travel,0.058,Card Present
M100621,Electronics,0.229,Wire
M100622,Fuel,0.341,Online Banking
M100623,Electronics,0.39,Card Present
M100624,Gaming,0.413,P2P
M100625,Luxury,0.609,Card Not Present
M100626,Utilities,0.155,Card Present
M100627,Digital Wallet,0.363,P2P
M100628,Electronics,0.264,Card Present
M100629,Fuel,0.06,Card Not Present
M100630,Electronics,0.469,Wire
M100631,Marketplace,0.145,Card Present
M100632,Luxury,0.604,Card Not Present
M100633,Electronics,0.052,P2P
M100634,Digital Wallet,0.291,Card Not Present
M100635,Telecom,0.24,Wire
M100636,Grocery,0.163,Wire
M100637,Digital Wallet,0.612,Card Not Present
M100638,Gaming,0.171,Wire
M100639,Grocery,0.353,Card Present
M100640,Luxury,0.292,Wire
M100641,Marketplace,0.247,Card Present
M100642,Marketplace,0.316,Online Banking
M100643,Luxury,0.359,Wire
M100644,Luxury,0.136,Card Present
M100645,Digital Wallet,0.308,Online Banking
M100646,Travel,0.213,Online Banking
M100647,Marketplace,0.187,Online Banking
M100648,Gaming,0.323,P2P
M100649,Telecom,0.072,Wire
M100650,Travel,0.618,Card Present
M100651,Telecom,0.281,P2P
M100652,Telecom,0.39,P2P
M100653,Electronics,0.377,Card Present
M100654,Travel,0.158,Card Not Present
M100655,Electronics,0.177,Card Present
M100656,Gaming,0.174,Online Banking
M100657,Gaming,0.19,Online Banking
M100658,Travel,0.425,P2P
M100659,Gaming,0.097,Online Banking
M100660,Utilities,0.554,Card Not Present
M100661,Digital Wallet,0.162,P2P
M100662,Travel,0.449,Card Not Present
M100663,Electronics,0.315,Online Banking
M100664,Telecom,0.079,Online Banking
M100665,Fuel,0.442,P2P
M100666,Marketplace,0.365,Card Not Present
M100667,Electronics,0.148,Card Present
M100668,Digital Wallet,0.519,Wire
M100669,Telecom,0.319,Wire
M100670,Gaming,0.092,Card Present
M100671,Fuel,0.203,Wire
M100672,Telecom,0.071,Online Banking
M100673,Travel,0.578,Card Not Present
M100674,Gaming,0.302,P2P
M100675,Luxury,0.109,P2P
M100676,Telecom,0.021,Card Present
M100677,Electronics,0.209,Wire
M100678,Luxury,0.637,Online Banking
M100679,Fuel,0.218,Card Not Present
M100680,Gaming,0.101,P2P
M100681,Luxury,0.191,P2P
M100682,Electronics,0.136,Online Banking
M100683,Digital Wallet,0.117,Wire
M100684,Fuel,0.19,Online Banking
M100685,Luxury,0.304,P2P
M100686,Grocery,0.137,Card Present
M100687,Gaming,0.388,Card Present
M100688,Gaming,0.083,P2P
M100689,Grocery,0.058,Card Present
M100690,Gaming,0.069,Online Banking
M100691,Digital Wallet,0.228,Card Present
M100692,Fuel,0.398,Card Present
M100693,Electronics,0.012,Wire
M100694,Gaming,0.487,Card Present
M100695,Fuel,0.188,Card Present
M100696,Travel,0.427,Card Not Present
M100697,Telecom,0.475,P2P
M100698,Telecom,0.561,P2P
M100699,Telecom,0.374,P2P
M100700,Luxury,0.261,Wire
M100701,Fuel,0.479,Online Banking
M100702,Fuel,0.23,P2P
M100703,Grocery,0.44,Online Banking
M100704,Gaming,0.074,Card Not Present
M100705,Grocery,0.364,Wire
M100706,Fuel,0.122,Online Banking
M100707,Fuel,0.075,Card Present
M100708,Grocery,0.271,Card Present
M100709,Utilities,0.07,Card Not Present
M100710,Grocery,0.299,P2P
M100711,Electronics,0.148,P2P
M100712,Telecom,0.176,P2P
M100713,Gaming,0.377,Card Present
M100714,Digital Wallet,0.163,Wire
M100715,Marketplace,0.583,P2P
M100716,Marketplace,0.263,Card Not Present
M100717,Utilities,0.175,Wire
M100718,Gaming,0.024,P2P
M100719,Utilities,0.216,Card Present
M100720,Digital Wallet,0.135,Online Banking
M100721,Grocery,0.183,P2P
M100722,Luxury,0.155,Online Banking
M100723,Gaming,0.295,Card Present
M100724,Utilities,0.111,Card Not Present
M100725,Gaming,0.249,Card Not Present
M100726,Marketplace,0.12,Wire
M100727,Electronics,0.02,Card Present
M100728,Travel,0.309,Online Banking
M100729,Digital Wallet,0.478,Card Not Present
M100730,Travel,0.07,Card Present
M100731,Grocery,0.567,Online Banking
M100732,Electronics,0.475,Card Not Present
M100733,Electronics,0.121,P2P
M100734,Gaming,0.232,P2P
M100735,Luxury,0.206,Card Present
M100736,Electronics,0.443,Card Not Present
M100737,Luxury,0.077,Online Banking
M100738,Electronics,0.286,Card Not Present
M100739,Electronics,0.075,Card Present
M100740,Electronics,0.528,Card Not Present
M100741,Marketplace,0.247,Card Not Present
M100742,Travel,0.37,Card Present
M100743,Fuel,0.121,Wire
M100744,Utilities,0.234,Online Banking
M100745,Luxury,0.054,Card Present
M100746,Electronics,0.259,Card Present
M100747,Travel,0.458,Wire
M100748,Utilities,0.269,Wire
M100749,Grocery,0.193,P2P
M100750,Luxury,0.073,Card Not Present
M100751,Luxury,0.097,Card Present
M100752,Luxury,0.068,Wire
M100753,Utilities,0.121,P2P
M100754,Electronics,0.117,P2P
M100755,Digital Wallet,0.068,Wire
M100756,Luxury,0.632,P2P
M100757,Marketplace,0.063,Online Banking
