customer_id,age,tenure_months,segment,home_country,digital_only,kyc_risk_band,synthetic_identity_score
C103942,76,1970-01-02,Affluent,IN,1,Medium,0.075
C105459,59,1970-01-02,Mass,CA,1,Low,0.208
C103832,59,1970-01-02,Affluent,US,1,Low,0.09
C101652,43,1970-01-03,Affluent,US,0,Medium,0.074
C100079,44,1970-01-03,Affluent,AE,1,Medium,0.276
C100964,64,1970-01-03,Mass,AE,1,High,0.222
C100926,63,1970-01-03,Affluent,AE,1,Low,0.075
C100794,70,1970-01-03,Mass,IN,1,Medium,0.142
C103379,29,1970-01-03,Mass,CA,1,Low,0.305
C103164,70,1970-01-03,Affluent,US,0,Low,0.215
C104657,56,1970-01-03,Mass,US,0,Medium,0.026
C103311,52,1970-01-03,Affluent,UK,0,Medium,0.105
C103934,72,1970-01-03,Affluent,UK,1,Medium,0.125
C101074,56,1970-01-03,Mass,IN,1,Medium,0.044
C104840,69,1970-01-03,SME,CA,1,Low,0.356
C104183,43,1970-01-03,Mass,UK,0,Low,0.314
C102024,61,1970-01-03,Mass,UK,0,Medium,0.345
C105677,55,1970-01-03,Affluent,US,0,Low,0.121
C104634,28,1970-01-03,Mass,US,1,Medium,0.139
C101745,39,1970-01-03,Mass,AE,1,Low,0.089
C103143,35,1970-01-03,Affluent,CA,0,Medium,0.262
C103263,54,1970-01-03,Mass,US,0,Medium,0.162
C103121,42,1970-01-03,Mass,AE,0,Medium,0.115
C101451,75,1970-01-03,Mass,US,0,Medium,0.11
C100439,48,1970-01-03,Affluent,UK,1,Medium,0.024
C103316,48,1970-01-03,SME,US,0,Low,0.101
C104543,66,1970-01-03,Mass,IN,1,Low,0.238
C102981,43,1970-01-04,Mass,IN,0,Low,0.338
C102080,59,1970-01-04,Mass,SG,1,Low,0.033
C104020,60,1970-01-04,Mass,CA,1,Medium,0.052
C101454,30,1970-01-04,Mass,UK,1,Low,0.359
C100254,22,1970-01-04,Mass,IN,1,Low,0.193
C100465,18,1970-01-04,Mass,US,0,Medium,0.357
C102117,43,1970-01-04,Mass,IN,1,Low,0.202
C100506,75,1970-01-04,Mass,US,0,High,0.005
C104271,52,1970-01-04,Mass,US,1,Low,0.171
C104288,57,1970-01-04,Affluent,IN,1,Medium,0.187
C104213,57,1970-01-04,Mass,IN,0,Low,0.037
C100233,26,1970-01-04,Mass,US,1,High,0.391
C100553,76,1970-01-04,Mass,CA,0,Low,0.1
C105314,50,1970-01-04,Mass,US,1,Medium,0.057
C100544,70,1970-01-04,Mass,US,1,Low,0.136
C103700,34,1970-01-04,Mass,US,1,Low,0.229
C103540,70,1970-01-04,Mass,UK,0,Low,0.009
C102788,36,1970-01-04,SME,US,1,Medium,0.289
C102864,24,1970-01-04,Mass,US,0,Medium,0.091
C102083,65,1970-01-04,Affluent,US,1,Low,0.363
C105542,61,1970-01-04,Mass,US,0,Medium,0.138
C100308,25,1970-01-04,Mass,IN,1,Low,0.269
C100710,57,1970-01-04,SME,AE,1,Low,0.054
C104103,19,1970-01-04,Mass,IN,0,Low,0.49
C101580,73,1970-01-05,Mass,IN,1,Low,0.232
C101310,42,1970-01-05,Mass,US,0,Low,0.024
C100625,29,1970-01-05,Mass,CA,1,Low,0.101
C100023,50,1970-01-05,Mass,IN,1,Low,0.476
C102531,43,1970-01-05,Affluent,US,0,Low,0.046
C101870,27,1970-01-05,Mass,CA,0,Low,0.641
C105110,60,1970-01-05,Affluent,CA,0,Low,0.094
C103488,25,1970-01-05,Mass,US,0,Low,0.023
C101170,63,1970-01-05,Affluent,US,1,Low,0.114
C104745,64,1970-01-05,Affluent,US,0,Medium,0.174
C102118,40,1970-01-05,Mass,US,1,Low,0.251
C103018,70,1970-01-05,Mass,IN,1,Medium,0.029
C101194,63,1970-01-05,Mass,US,0,Low,0.279
C102245,25,1970-01-05,Mass,IN,0,High,0.091
C102873,47,1970-01-05,Mass,SG,1,Medium,0.229
C105639,54,1970-01-05,Affluent,US,1,High,0.134
C102549,23,1970-01-05,Mass,IN,1,Low,0.272
C103154,18,1970-01-05,Affluent,IN,1,Low,0.087
C100093,55,1970-01-05,Affluent,US,1,Low,0.371
C102077,42,1970-01-05,Mass,CA,1,Medium,0.215
C100469,71,1970-01-05,Mass,US,1,Low,0.197
C100787,65,1970-01-05,Mass,US,1,Medium,0.022
C101699,66,1970-01-05,Mass,US,1,Medium,0.113
C101837,69,1970-01-05,SME,IN,1,Low,0.034
C103063,22,1970-01-06,Affluent,US,1,Medium,0.161
C101706,33,1970-01-06,SME,IN,0,Low,0.193
C103967,37,1970-01-06,Mass,US,1,Low,0.356
C103862,61,1970-01-06,Mass,IN,0,Medium,0.215
C103664,20,1970-01-06,Mass,US,1,Low,0.088
C105891,62,1970-01-06,Mass,SG,1,Medium,0.108
C103204,66,1970-01-06,Mass,CA,1,Medium,0.089
C100604,76,1970-01-06,Affluent,US,0,Low,0.2
C104942,51,1970-01-06,Mass,US,0,Medium,0.287
C101550,47,1970-01-06,Mass,US,0,Low,0.249
C104708,19,1970-01-06,Mass,UK,1,Medium,0.167
C104834,29,1970-01-06,Mass,UK,1,Low,0.303
C103185,58,1970-01-06,Mass,IN,1,Low,0.27
C104386,45,1970-01-06,Mass,AE,1,Medium,0.096
C101586,35,1970-01-06,SME,US,1,High,0.154
C103119,27,1970-01-06,Affluent,US,0,Low,0.08
C103399,40,1970-01-06,Mass,AE,1,Low,0.013
C100401,72,1970-01-06,Mass,UK,1,Medium,0.114
C100031,26,1970-01-06,Mass,UK,0,Low,0.128
C101483,62,1970-01-06,Mass,AE,1,Medium,0.107
C102680,58,1970-01-06,Mass,US,1,Low,0.067
C100599,38,1970-01-06,SME,US,0,Low,0.041
C103149,70,1970-01-06,Mass,IN,1,Low,0.104
C105544,24,1970-01-06,Mass,CA,0,Low,0.12
C101860,76,1970-01-07,Mass,CA,1,Low,0.303
C100565,19,1970-01-07,Mass,CA,1,Low,0.215
C102213,50,1970-01-07,Mass,IN,0,Medium,0.234
C101966,43,1970-01-07,Mass,UK,0,Medium,0.023
C100865,54,1970-01-07,Mass,SG,1,Low,0.147
C104607,61,1970-01-07,Mass,US,1,Low,0.31
C102450,55,1970-01-07,Mass,IN,0,Low,0.312
C105692,28,1970-01-07,Mass,AE,0,Low,0.348
C100812,21,1970-01-07,Mass,IN,1,Low,0.274
C101477,23,1970-01-07,SME,AE,1,Medium,0.094
C104734,20,1970-01-07,Affluent,SG,1,Low,0.185
C102271,33,1970-01-07,Mass,UK,1,Low,0.471
C101038,73,1970-01-07,Affluent,IN,1,Low,0.14
C104526,63,1970-01-07,SME,US,0,Low,0.094
C100080,37,1970-01-07,Mass,US,1,Low,0.351
C101204,18,1970-01-07,Mass,IN,1,Low,0.727
C103285,70,1970-01-07,Mass,US,1,Medium,0.061
C101545,36,1970-01-07,Mass,SG,0,Low,0.153
C100177,68,1970-01-07,Mass,US,1,Low,0.088
C102585,69,1970-01-07,SME,US,1,Low,0.063
C105992,50,1970-01-07,Mass,UK,1,Low,0.023
C104863,32,1970-01-07,Mass,SG,1,Medium,0.028
C101438,39,1970-01-07,Mass,AE,0,Low,0.17
C100296,70,1970-01-07,Mass,US,1,Medium,0.214
C103615,20,1970-01-08,Mass,SG,1,Low,0.065
C103647,41,1970-01-08,Mass,US,1,Low,0.244
C100157,32,1970-01-08,Mass,US,1,Medium,0.465
C101027,48,1970-01-08,Affluent,US,1,Medium,0.06
C100410,73,1970-01-08,Mass,US,1,Low,0.19
C103958,66,1970-01-08,Affluent,US,0,Medium,0.226
C105937,64,1970-01-08,Mass,UK,0,Medium,0.221
C104956,26,1970-01-08,Affluent,UK,0,Low,0.253
C104756,28,1970-01-08,Mass,IN,1,Low,0.051
C105447,18,1970-01-08,Mass,AE,1,Medium,0.373
C102181,44,1970-01-08,Mass,IN,0,Low,0.09
C105808,33,1970-01-08,Affluent,UK,1,Medium,0.186
C100810,19,1970-01-08,Affluent,CA,0,Low,0.094
C104915,65,1970-01-08,SME,US,0,Medium,0.192
C104953,21,1970-01-08,SME,IN,1,Low,0.04
C103733,35,1970-01-08,Mass,US,1,Low,0.216
C105163,43,1970-01-08,Mass,SG,0,Low,0.202
C102977,74,1970-01-08,Mass,US,1,Medium,0.032
C103795,63,1970-01-08,Mass,US,1,Low,0.054
C102168,38,1970-01-08,Mass,US,1,Low,0.12
C103077,20,1970-01-08,Mass,CA,1,Low,0.391
C101694,40,1970-01-08,Mass,US,0,Low,0.052
C101024,56,1970-01-08,Mass,UK,0,Low,0.174
C103946,47,1970-01-08,SME,SG,1,Low,0.452
C102124,39,1970-01-09,Mass,CA,1,Medium,0.009
C105294,22,1970-01-09,Mass,SG,1,Low,0.219
C102704,19,1970-01-09,Mass,SG,1,Medium,0.013
C101033,35,1970-01-09,Mass,SG,1,Medium,0.141
C105871,18,1970-01-09,Affluent,CA,0,Low,0.054
C105364,18,1970-01-09,SME,IN,0,Medium,0.055
C104159,42,1970-01-09,Affluent,IN,1,Low,0.076
C101700,27,1970-01-09,Mass,US,0,Low,0.236
C102913,59,1970-01-09,SME,US,1,Medium,0.24
C104878,74,1970-01-09,Mass,AE,1,Low,0.264
C103320,53,1970-01-09,Affluent,SG,1,High,0.314
C105026,42,1970-01-09,Mass,UK,0,Low,0.228
C102582,19,1970-01-09,Mass,US,0,Low,0.111
C105283,73,1970-01-09,Mass,CA,1,Medium,0.105
C104250,75,1970-01-09,Mass,IN,1,Low,0.155
C101186,63,1970-01-09,Mass,US,1,Low,0.23
C103737,32,1970-01-09,Mass,US,1,Medium,0.226
C100783,25,1970-01-09,Mass,US,0,Low,0.118
C104402,73,1970-01-09,SME,IN,1,Low,0.015
C100050,39,1970-01-09,Mass,US,1,Medium,0.133
C100712,21,1970-01-09,Mass,US,1,Low,0.022
C102306,44,1970-01-09,Mass,IN,1,Low,0.109
C103867,48,1970-01-09,Mass,CA,1,Low,0.32
C102446,20,1970-01-09,Mass,IN,0,Low,0.296
C102240,20,1970-01-10,Mass,IN,1,Low,0.037
C104603,63,1970-01-10,Affluent,IN,0,Medium,0.233
C104790,59,1970-01-10,Mass,US,0,Low,0.306
C103103,69,1970-01-10,Mass,IN,1,High,0.286
C105566,24,1970-01-10,Mass,US,0,Medium,0.094
C100676,37,1970-01-10,Mass,AE,0,Low,0.153
C105556,30,1970-01-10,Mass,UK,1,Low,0.205
C103639,39,1970-01-10,Mass,UK,1,Low,0.209
C102694,27,1970-01-10,Mass,CA,1,Low,0.18
C102995,73,1970-01-10,Mass,US,1,Low,0.279
C101562,23,1970-01-10,Affluent,US,1,Low,0.122
C103649,69,1970-01-10,Affluent,AE,0,Medium,0.045
C102465,53,1970-01-10,Mass,AE,1,Low,0.212
C100346,52,1970-01-10,Affluent,US,0,Low,0.068
C101496,62,1970-01-10,Mass,US,0,Medium,0.389
C102344,21,1970-01-10,Affluent,US,1,High,0.499
C103905,47,1970-01-10,Mass,IN,0,Low,0.066
C103658,75,1970-01-10,Mass,AE,1,Low,0.032
C100622,42,1970-01-10,Mass,US,0,Low,0.327
C104096,60,1970-01-10,Mass,SG,0,Low,0.113
C101400,62,1970-01-10,Mass,US,1,Medium,0.158
C103297,48,1970-01-10,Mass,US,1,Low,0.104
C103985,34,1970-01-10,Mass,CA,0,Low,0.215
C105181,21,1970-01-10,Mass,UK,1,Medium,0.229
C104617,38,1970-01-11,Mass,SG,1,Low,0.116
C100324,64,1970-01-11,Mass,US,1,Low,0.093
C102997,51,1970-01-11,Mass,US,0,Low,0.023
C100037,57,1970-01-11,Mass,US,1,Medium,0.107
C105374,45,1970-01-11,SME,US,0,Low,0.102
C104184,21,1970-01-11,Affluent,IN,0,Medium,0.178
C100530,51,1970-01-11,SME,US,0,Medium,0.221
C102642,38,1970-01-11,SME,US,1,Low,0.065
C103680,47,1970-01-11,Mass,IN,1,High,0.317
C102348,67,1970-01-11,Affluent,AE,1,Low,0.133
C102784,52,1970-01-11,Mass,SG,0,Low,0.204
C105492,29,1970-01-11,Mass,US,0,High,0.125
C102225,24,1970-01-11,Mass,US,0,High,0.063
C101073,69,1970-01-11,Affluent,US,1,Medium,0.327
C101197,57,1970-01-11,Mass,US,1,Low,0.375
C105138,52,1970-01-11,Mass,US,1,Low,0.261
C100263,53,1970-01-11,Mass,US,0,Low,0.337
C101729,61,1970-01-11,Mass,IN,1,Low,0.122
C105328,59,1970-01-11,Mass,US,1,Medium,0.209
C100907,70,1970-01-11,Mass,IN,1,High,0.213
C101335,43,1970-01-11,Mass,AE,1,Low,0.169
C101393,19,1970-01-11,Mass,IN,1,Low,0.303
C100960,63,1970-01-11,Affluent,US,0,Low,0.291
C100239,71,1970-01-11,Mass,UK,0,Medium,0.12
C100199,67,1970-01-12,Mass,CA,1,Medium,0.037
C102417,64,1970-01-12,Affluent,AE,0,Low,0.008
C105469,49,1970-01-12,Mass,AE,1,Medium,0.025
C104310,29,1970-01-12,Affluent,US,1,Low,0.285
C104714,33,1970-01-12,Mass,UK,1,Low,0.227
C105790,38,1970-01-12,Mass,US,0,Low,0.068
C100325,70,1970-01-12,Mass,CA,0,Medium,0.046
C102677,50,1970-01-12,Mass,CA,0,Low,0.294
C105823,21,1970-01-12,Affluent,US,1,Medium,0.085
C104418,68,1970-01-12,Mass,SG,1,Low,0.328
C100101,19,1970-01-12,Mass,CA,1,Medium,0.147
C101737,49,1970-01-12,Mass,SG,1,Low,0.315
C105261,28,1970-01-12,Affluent,US,1,Medium,0.095
C100877,34,1970-01-12,Mass,CA,0,Low,0.089
C105892,69,1970-01-12,Mass,UK,1,Low,0.075
C100408,35,1970-01-12,Affluent,AE,0,Low,0.113
C103745,26,1970-01-12,Mass,US,1,Low,0.369
C101244,22,1970-01-12,Mass,IN,1,Low,0.104
C102287,59,1970-01-12,Mass,IN,0,Low,0.076
C101354,66,1970-01-12,Mass,UK,0,Medium,0.128
C102857,24,1970-01-12,Mass,US,1,High,0.264
C100893,49,1970-01-12,Mass,CA,0,Low,0.376
C101181,76,1970-01-12,Affluent,CA,1,Low,0.15
C104655,74,1970-01-12,Mass,UK,0,Low,0.051
C105322,71,1970-01-13,Mass,US,1,Low,0.105
C103698,51,1970-01-13,SME,US,1,Low,0.283
C104466,38,1970-01-13,SME,IN,1,Low,0.166
C104325,49,1970-01-13,Mass,AE,1,Low,0.11
C100730,71,1970-01-13,Mass,UK,0,Low,0.466
C101032,49,1970-01-13,Mass,US,1,Medium,0.178
C103066,70,1970-01-13,Mass,UK,1,Low,0.58
C105658,31,1970-01-13,Affluent,US,0,Low,0.161
C104896,49,1970-01-13,Affluent,US,1,Medium,0.109
C100977,74,1970-01-13,Mass,IN,0,Low,0.088
C104969,62,1970-01-13,Mass,US,0,Low,0.39
C102622,60,1970-01-13,SME,US,0,Low,0.16
C101225,36,1970-01-13,Mass,US,1,Low,0.185
C101209,75,1970-01-13,Mass,UK,1,Medium,0.125
C105480,31,1970-01-13,Mass,IN,1,Low,0.039
C100586,57,1970-01-13,Mass,US,1,Low,0.031
C105454,26,1970-01-13,Mass,IN,0,Low,0.387
C102820,26,1970-01-13,Mass,US,0,Low,0.438
C105755,47,1970-01-13,Mass,AE,0,Low,0.282
C102718,37,1970-01-13,Mass,IN,0,Low,0.092
C105624,57,1970-01-13,SME,US,1,Low,0.313
C101760,68,1970-01-13,Mass,AE,1,Low,0.162
C103049,38,1970-01-13,Mass,US,1,Medium,0.062
C101869,43,1970-01-13,Mass,US,1,Low,0.107
C101544,76,1970-01-14,Mass,US,1,Low,0.512
C100472,47,1970-01-14,Affluent,IN,0,Low,0.226
C105239,66,1970-01-14,Mass,US,1,Low,0.362
C101158,70,1970-01-14,Mass,US,0,Medium,0.407
C100132,21,1970-01-14,Mass,US,0,Medium,0.144
C101536,71,1970-01-14,Affluent,US,0,Medium,0.541
C102488,21,1970-01-14,Mass,AE,0,Medium,0.5
C101632,59,1970-01-14,Mass,UK,1,Low,0.068
C101321,64,1970-01-14,Mass,US,1,Medium,0.288
C105427,58,1970-01-14,Mass,SG,1,Low,0.204
C101188,42,1970-01-14,Mass,US,1,Low,0.039
C104378,54,1970-01-14,Mass,US,1,Medium,0.035
C103971,21,1970-01-14,Affluent,IN,0,Low,0.155
C104816,42,1970-01-14,Affluent,US,1,Low,0.167
C100681,76,1970-01-14,Mass,US,0,Medium,0.409
C101777,29,1970-01-14,Mass,CA,0,Low,0.127
C104405,45,1970-01-14,Mass,IN,0,Low,0.221
C104600,71,1970-01-14,Mass,US,1,Low,0.532
C104562,57,1970-01-14,Mass,US,1,High,0.013
C102902,41,1970-01-14,Mass,SG,1,Low,0.103
C105686,50,1970-01-14,Mass,SG,0,Medium,0.077
C103551,23,1970-01-14,Mass,US,1,Medium,0.432
C105642,40,1970-01-14,SME,US,0,Medium,0.161
C101374,56,1970-01-14,Mass,SG,1,Medium,0.103
C101945,66,1970-01-15,Mass,UK,1,Medium,0.038
C100168,44,1970-01-15,SME,IN,0,High,0.381
C104071,68,1970-01-15,Affluent,UK,1,Medium,0.068
C104747,43,1970-01-15,SME,IN,1,Low,0.306
C100501,47,1970-01-15,Mass,US,1,Low,0.046
C101803,33,1970-01-15,Affluent,CA,1,Medium,0.535
C100881,60,1970-01-15,Mass,SG,1,Medium,0.025
C100706,29,1970-01-15,SME,AE,0,High,0.063
C103366,21,1970-01-15,Mass,US,0,Low,0.033
C102323,60,1970-01-15,Affluent,US,0,Low,0.567
C102893,71,1970-01-15,Mass,IN,1,Low,0.079
C103816,67,1970-01-15,Mass,US,0,Low,0.14
C102559,19,1970-01-15,Mass,CA,0,Low,0.106
C100230,58,1970-01-15,Mass,US,0,Low,0.133
C105091,75,1970-01-15,Mass,US,0,Low,0.241
C101554,74,1970-01-15,Affluent,SG,0,Medium,0.298
C104239,63,1970-01-15,Mass,US,0,Low,0.293
C105094,70,1970-01-15,Mass,IN,0,Low,0.24
C104786,26,1970-01-15,Mass,US,1,Low,0.021
C103601,39,1970-01-15,Affluent,SG,1,Low,0.121
C105217,63,1970-01-15,Mass,UK,1,Low,0.094
C105075,76,1970-01-15,Mass,US,1,High,0.308
C100017,62,1970-01-15,Affluent,AE,1,Low,0.068
C105175,38,1970-01-15,Mass,IN,1,Medium,0.033
C102868,50,1970-01-16,Mass,US,0,Low,0.3
C101654,56,1970-01-16,Affluent,US,0,Low,0.083
C101129,56,1970-01-16,Mass,IN,1,Low,0.306
C102329,50,1970-01-16,Mass,US,0,Low,0.353
C101090,36,1970-01-16,Mass,IN,1,Medium,0.273
C105603,23,1970-01-16,Mass,US,0,Low,0.11
C104458,74,1970-01-16,Affluent,AE,0,Low,0.253
C101498,70,1970-01-16,Mass,AE,0,Low,0.191
C103033,61,1970-01-16,Mass,UK,1,Medium,0.119
C101881,76,1970-01-16,SME,US,0,Medium,0.36
C102662,40,1970-01-16,Mass,IN,1,Low,0.208
C105113,49,1970-01-16,SME,US,0,High,0.076
C103413,38,1970-01-16,Mass,US,1,Low,0.552
C100696,57,1970-01-16,Mass,US,1,Low,0.435
C104423,76,1970-01-16,Affluent,CA,1,Low,0.251
C103484,43,1970-01-16,Mass,US,1,Medium,0.103
C100535,53,1970-01-16,Mass,IN,0,Low,0.338
C102627,65,1970-01-16,Mass,US,1,Low,0.221
C103163,38,1970-01-16,Affluent,AE,1,Low,0.385
C103492,26,1970-01-16,Mass,SG,0,Low,0.081
C103653,64,1970-01-16,Mass,IN,0,Low,0.213
C102594,77,1970-01-16,Mass,IN,0,Low,0.127
C105717,52,1970-01-16,Affluent,CA,0,High,0.047
C105510,61,1970-01-16,Affluent,US,0,Low,0.085
C101047,33,1970-01-17,Mass,UK,1,Low,0.127
C105684,52,1970-01-17,SME,UK,0,Low,0.06
C105018,62,1970-01-17,Affluent,US,1,Medium,0.077
C100014,66,1970-01-17,Affluent,UK,1,Low,0.154
C103742,62,1970-01-17,Affluent,CA,1,Low,0.361
C104307,76,1970-01-17,Mass,US,0,Low,0.082
C105873,69,1970-01-17,Affluent,US,1,Low,0.054
C102347,70,1970-01-17,Mass,CA,0,Low,0.052
C105690,65,1970-01-17,Mass,US,1,Medium,0.481
C101564,65,1970-01-17,Mass,US,0,Low,0.03
C105619,55,1970-01-17,Mass,US,1,Medium,0.323
C101864,52,1970-01-17,Mass,UK,0,Low,0.158
C103094,36,1970-01-17,Mass,US,0,Low,0.148
C100065,47,1970-01-17,Mass,IN,0,Low,0.198
C103403,24,1970-01-17,Mass,SG,1,Medium,0.052
C105409,39,1970-01-17,SME,CA,0,Low,0.115
C105854,30,1970-01-17,Affluent,UK,1,High,0.31
C102410,22,1970-01-17,Affluent,US,0,Medium,0.14
C105769,37,1970-01-17,Affluent,US,0,Low,0.434
C102841,18,1970-01-17,SME,UK,0,Medium,0.137
C102008,49,1970-01-17,Mass,UK,1,Medium,0.064
C101272,64,1970-01-17,Mass,UK,1,High,0.213
C104945,54,1970-01-17,SME,AE,0,Low,0.738
C101894,71,1970-01-17,Affluent,SG,1,High,0.084
C104317,41,1970-01-18,Affluent,UK,1,Medium,0.103
C101971,53,1970-01-18,Affluent,SG,1,High,0.175
C104095,24,1970-01-18,Mass,US,1,Low,0.279
C100088,52,1970-01-18,Mass,CA,1,Medium,0.191
C103090,31,1970-01-18,Mass,SG,0,Low,0.315
C104883,52,1970-01-18,Mass,US,0,Low,0.139
C101499,41,1970-01-18,Mass,CA,0,Low,0.374
C102899,53,1970-01-18,Affluent,US,1,Low,0.307
C101407,77,1970-01-18,Mass,US,0,Medium,0.212
C103459,22,1970-01-18,Affluent,IN,0,Low,0.264
C103670,70,1970-01-18,Mass,IN,0,Medium,0.324
C104698,67,1970-01-18,Mass,US,0,Low,0.129
C105777,35,1970-01-18,Affluent,SG,1,Low,0.177
C104503,76,1970-01-18,Mass,US,0,Low,0.395
C100763,62,1970-01-18,Mass,UK,0,Medium,0.091
C101662,27,1970-01-18,Mass,US,0,Medium,0.315
C100420,35,1970-01-18,Affluent,IN,1,Medium,0.155
C103014,62,1970-01-18,Mass,AE,0,Low,0.116
C102584,28,1970-01-18,Affluent,AE,1,Low,0.158
C100373,52,1970-01-18,Mass,IN,0,Low,0.143
C105031,47,1970-01-18,Mass,US,0,Medium,0.154
C104534,19,1970-01-18,Affluent,US,0,Low,0.211
C102373,57,1970-01-18,Mass,US,0,Medium,0.138
C102767,38,1970-01-18,Mass,CA,1,Medium,0.448
C103361,33,1970-01-19,Mass,US,1,Medium,0.066
C101832,64,1970-01-19,SME,IN,1,Medium,0.32
C101620,46,1970-01-19,Mass,UK,0,Low,0.238
C103275,31,1970-01-19,Mass,US,1,Low,0.103
C100538,30,1970-01-19,Mass,AE,1,Low,0.043
C103550,38,1970-01-19,Affluent,IN,0,Medium,0.18
C100755,28,1970-01-19,Mass,IN,0,Medium,0.297
C103606,24,1970-01-19,Mass,UK,1,Medium,0.165
C100534,51,1970-01-19,Affluent,US,0,Medium,0.077
C101448,29,1970-01-19,Mass,US,1,Medium,0.138
C100915,35,1970-01-19,SME,US,0,Medium,0.171
C103127,72,1970-01-19,Mass,US,1,Medium,0.295
C104939,28,1970-01-19,Mass,US,0,Medium,0.25
C105417,36,1970-01-19,Mass,US,1,Low,0.085
C100181,55,1970-01-19,Mass,IN,0,Medium,0.117
C101769,30,1970-01-19,Mass,US,1,Low,0.228
C104609,50,1970-01-19,Mass,US,1,Medium,0.076
C102829,52,1970-01-19,Mass,US,1,Low,0.223
C103313,51,1970-01-19,Mass,US,1,Medium,0.051
C105457,75,1970-01-19,Affluent,US,1,Medium,0.39
C101192,51,1970-01-19,Mass,US,1,Low,0.355
C104081,70,1970-01-19,SME,US,1,Low,0.19
C102127,52,1970-01-19,Mass,SG,1,High,0.26
C105395,44,1970-01-19,Affluent,UK,0,Low,0.076
C100476,67,1970-01-20,Affluent,CA,1,Low,0.205
C104920,49,1970-01-20,Mass,SG,0,Low,0.155
C101323,67,1970-01-20,Mass,US,1,Low,0.042
C100259,37,1970-01-20,Mass,US,0,Low,0.154
C100279,50,1970-01-20,Mass,IN,1,Low,0.124
C100561,32,1970-01-20,Mass,UK,0,Low,0.143
C104284,31,1970-01-20,Mass,UK,0,Medium,0.449
C100198,58,1970-01-20,Mass,US,0,Low,0.14
C103929,73,1970-01-20,Affluent,IN,0,Low,0.122
C104377,69,1970-01-20,Mass,SG,1,Low,0.143
C102275,73,1970-01-20,Mass,AE,0,Medium,0.054
C101740,30,1970-01-20,Mass,US,1,Low,0.501
C101891,56,1970-01-20,Mass,UK,1,Low,0.476
C101859,47,1970-01-20,Mass,US,1,Medium,0.167
C104614,49,1970-01-20,Mass,US,0,Medium,0.1
C105903,33,1970-01-20,Affluent,IN,1,Low,0.276
C103026,31,1970-01-20,Mass,US,1,Low,0.286
C101383,52,1970-01-20,Mass,US,1,Low,0.161
C102091,39,1970-01-20,Mass,US,0,High,0.341
C103076,63,1970-01-20,Mass,IN,1,Low,0.062
C104333,36,1970-01-20,Mass,US,1,Low,0.195
C103198,38,1970-01-20,Mass,US,0,Medium,0.164
C101599,33,1970-01-20,Mass,SG,0,Low,0.024
C102574,73,1970-01-20,Mass,CA,0,High,0.201
