transaction_id,event_ts,customer_id,merchant_id,channel,transaction_amount_usd,txn_country,txn_hour,device_risk_score,new_device_flag,velocity_1h,velocity_24h,geo_distance_km,merchant_risk_score,is_night_flag,alert_generated,fraud_label,triage_score,priority_tier,investigation_sla_hours,manual_review_outcome
T100051,2025-02-17 14:22:00,C100051,M100051,Card Present,91.22,IN,4,0.371,0,1,6,4429.3,0.074,1,1,0,42.2,Medium,12,False Positive
T100052,2025-03-19 18:14:00,C100052,M100052,Card Not Present,354.63,GB,11,0.056,1,3,9,4583.9,0.388,0,1,1,66.5,Medium,12,Confirmed Fraud
T100053,2025-03-10 10:51:00,C100053,M100053,Card Present,9.74,DE,18,0.711,1,0,1,5131.7,0.377,0,1,0,36.3,Review Later,48,False Positive
T100054,2025-01-19 15:28:00,C100054,M100054,Wire,7.23,IN,4,0.412,0,2,4,5681.4,0.206,1,1,0,26.9,Review Later,48,Cleared
T100055,2025-04-27 09:55:00,C100055,M100055,Wire,523.34,IN,1,0.493,1,1,1,10.1,0.427,1,1,0,51.5,Medium,12,Cleared
T100056,2025-02-14 07:37:00,C100056,M100056,Card Not Present,50.26,IN,3,0.361,1,0,2,3904.3,0.271,1,1,0,40.2,Medium,12,Cleared
T100057,2025-03-26 00:50:00,C100057,M100057,Wire,37.64,SG,14,0.166,0,0,0,2068.6,0.329,0,1,0,35.2,Review Later,48,False Positive
T100058,2025-03-09 23:57:00,C100058,M100058,Card Present,15.71,BR,4,0.052,1,3,4,1411.1,0.341,1,1,1,27.2,Review Later,48,Confirmed Fraud
T100059,2025-02-19 18:15:00,C100059,M100059,Card Not Present,277.71,SG,11,0.453,0,4,9,15.4,0.071,0,1,0,46.8,Medium,12,False Positive
T100060,2025-02-21 23:00:00,C100060,M100060,Online Banking,148.29,SG,0,0.088,0,4,5,1404.2,0.075,1,1,0,41.8,Medium,12,Cleared
T100061,2025-04-18 01:51:00,C100061,M100061,Card Not Present,443.85,US,15,0.377,0,5,9,6907.9,0.165,0,1,1,67.4,Medium,12,Blocked
T100062,2025-01-25 18:21:00,C100062,M100062,Card Not Present,371.38,AE,2,0.12,0,1,5,27.6,0.113,1,1,0,36.0,Review Later,48,False Positive
T100063,2025-02-07 18:12:00,C100063,M100063,Card Not Present,26.58,US,19,0.213,1,8,12,53.0,0.442,0,1,0,30.4,Review Later,48,False Positive
T100064,2025-04-25 09:36:00,C100064,M100064,Card Present,25.1,IN,3,0.029,0,2,4,1596.0,0.117,1,1,0,24.3,Review Later,48,False Positive
T100065,2025-02-07 00:29:00,C100065,M100065,Card Present,293.11,IN,21,0.173,0,0,3,7786.0,0.225,0,1,0,52.3,Medium,12,False Positive
T100066,2025-01-16 23:59:00,C100066,M100066,Card Present,160.52,BR,8,0.522,0,0,3,6923.9,0.165,0,1,0,51.0,Medium,12,False Positive
T100067,2025-01-07 14:24:00,C100067,M100067,Card Present,227.92,GB,15,0.174,0,1,1,1989.9,0.109,0,1,1,46.2,Medium,12,Blocked
T100068,2025-02-03 09:30:00,C100068,M100068,P2P,80.63,GB,8,0.339,1,1,4,1207.1,0.364,0,1,1,47.5,Medium,12,Blocked
T100069,2025-04-07 17:46:00,C100069,M100069,Card Present,45.47,AE,15,0.089,1,0,4,1752.1,0.618,0,1,0,43.4,Medium,12,False Positive
T100070,2025-02-10 16:46:00,C100070,M100070,Online Banking,45.28,SG,21,0.258,0,1,2,3550.2,0.216,0,1,0,35.9,Review Later,48,Cleared
T100071,2025-02-06 11:39:00,C100071,M100071,Card Present,856.33,DE,1,0.463,0,1,4,1128.4,0.114,1,1,0,59.4,Medium,12,False Positive
T100072,2025-03-15 10:27:00,C100072,M100072,Online Banking,365.77,NG,7,0.262,1,0,4,2108.4,0.174,0,1,1,54.5,Medium,12,Confirmed Fraud
T100073,2025-04-04 21:39:00,C100073,M100073,Wire,196.76,US,1,0.389,0,2,4,38.4,0.319,1,1,0,54.0,Medium,12,Cleared
T100074,2025-03-12 11:27:00,C100074,M100074,P2P,43.22,NG,1,0.464,0,0,1,1919.2,0.45,1,1,0,44.2,Medium,12,False Positive
T100075,2025-03-26 16:52:00,C100075,M100075,Card Not Present,167.55,BR,3,0.34,0,0,2,12187.4,0.413,1,1,0,54.7,Medium,12,Cleared
T100076,2025-02-16 15:19:00,C100076,M100076,Card Present,29.58,DE,3,0.344,0,4,6,4923.7,0.247,1,1,0,33.4,Review Later,48,False Positive
T100077,2025-02-23 08:20:00,C100077,M100077,Card Present,39.02,GB,18,0.133,0,0,2,1493.7,0.313,0,1,0,34.6,Review Later,48,Cleared
T100078,2025-01-20 15:26:00,C100078,M100078,Card Not Present,468.82,GB,23,0.085,1,1,2,4057.3,0.673,1,1,0,66.0,Medium,12,False Positive
T100079,2025-02-26 09:51:00,C100079,M100079,Wire,31.77,US,5,0.119,1,1,2,11.0,0.266,1,1,0,16.0,Review Later,48,Cleared
T100080,2025-02-25 06:17:00,C100080,M100080,P2P,504.67,AE,0,0.106,0,0,3,8.4,0.261,1,1,0,41.5,Medium,12,Cleared
T100081,2025-03-08 03:02:00,C100081,M100081,P2P,73.87,DE,0,0.267,0,0,5,2571.4,0.216,1,1,1,41.7,Medium,12,Escalated
T100082,2025-02-10 23:31:00,C100082,M100082,Card Present,43.54,AE,13,0.084,0,1,1,6206.6,0.295,0,1,1,34.8,Review Later,48,Blocked
T100083,2025-02-23 07:28:00,C100083,M100083,Online Banking,81.94,GB,20,0.377,1,1,2,3336.6,0.625,0,1,0,54.8,Medium,12,Cleared
T100084,2025-04-28 09:07:00,C100084,M100084,P2P,416.38,AE,10,0.363,1,0,2,21.2,0.229,0,1,0,43.3,Medium,12,Cleared
T100085,2025-04-20 05:51:00,C100085,M100085,Wire,27.2,BR,22,0.426,0,1,3,5515.8,0.259,0,1,0,34.2,Review Later,48,Cleared
T100086,2025-01-10 08:28:00,C100086,M100086,P2P,26.17,US,1,0.162,1,0,5,42.0,0.109,1,1,0,11.3,Review Later,48,Cleared
T100087,2025-03-23 05:04:00,C100087,M100087,Card Present,102.79,DE,3,0.308,0,2,6,1830.6,0.073,1,1,1,42.1,Medium,12,Escalated
T100088,2025-03-29 07:55:00,C100088,M100088,Card Present,74.15,DE,16,0.429,0,2,12,1329.2,0.097,0,1,0,51.2,Medium,12,False Positive
T100089,2025-04-30 22:10:00,C100089,M100089,Card Present,112.23,US,2,0.424,0,0,3,7186.6,0.234,1,1,0,48.7,Medium,12,Cleared
T100090,2025-01-23 00:22:00,C100090,M100090,Card Present,55.32,DE,0,0.199,1,1,4,1428.2,0.213,1,1,0,37.5,Review Later,48,Cleared
T100091,2025-03-23 09:38:00,C100091,M100091,P2P,185.1,SG,1,0.266,1,5,9,623.8,0.528,1,1,0,67.1,Medium,12,False Positive
T100092,2025-02-10 15:00:00,C100092,M100092,Card Not Present,20.65,AE,2,0.182,0,2,3,3433.9,0.299,1,1,0,29.7,Review Later,48,False Positive
T100093,2025-01-12 05:45:00,C100093,M100093,P2P,140.73,US,20,0.234,1,1,6,7.9,0.513,0,1,0,39.5,Review Later,48,False Positive
T100094,2025-04-25 11:37:00,C100094,M100094,Card Not Present,726.71,GB,23,0.22,0,4,6,8894.2,0.388,1,1,1,62.4,Medium,12,Blocked
T100095,2025-02-24 03:18:00,C100095,M100095,Card Not Present,76.98,NG,22,0.205,0,4,6,559.0,0.145,0,1,0,39.5,Review Later,48,False Positive
T100096,2025-01-20 23:19:00,C100096,M100096,Card Present,26.73,SG,17,0.186,0,2,9,609.8,0.23,0,1,1,39.9,Review Later,48,Confirmed Fraud
T100097,2025-03-14 05:38:00,C100097,M100097,Online Banking,65.28,IN,5,0.576,0,0,2,3242.4,0.069,1,1,1,41.2,Medium,12,Confirmed Fraud
T100098,2025-03-29 12:49:00,C100098,M100098,Card Not Present,25.06,AE,20,0.316,1,1,3,1459.3,0.269,0,1,0,32.3,Review Later,48,Cleared
T100099,2025-03-25 20:04:00,C100099,M100099,Card Present,261.19,US,4,0.299,0,5,7,27.0,0.449,1,1,0,42.9,Medium,12,False Positive
T100100,2025-02-17 01:33:00,C100100,M100100,Card Not Present,117.46,DE,4,0.116,1,1,2,2532.9,0.203,1,1,0,43.8,Medium,12,False Positive
T100101,2025-03-08 03:46:00,C100101,M100101,Card Not Present,161.33,SG,23,0.295,0,0,2,2519.4,0.068,1,1,1,45.2,Medium,12,Confirmed Fraud
T100102,2025-03-14 07:04:00,C100102,M100102,P2P,636.71,US,3,0.134,1,2,5,3.0,0.176,1,1,0,40.5,Medium,12,False Positive
T100103,2025-01-18 01:35:00,C100103,M100103,P2P,52.69,SG,4,0.139,1,5,10,9.5,0.264,1,1,0,32.2,Review Later,48,False Positive
T100104,2025-02-27 04:44:00,C100104,M100104,Card Present,3.64,AE,4,0.356,1,1,1,3999.8,0.374,1,1,0,29.8,Review Later,48,False Positive
T100105,2025-02-07 16:09:00,C100105,M100105,Wire,73.39,SG,11,0.485,0,1,3,1406.1,0.052,0,1,0,40.7,Medium,12,Cleared
T100106,2025-02-08 04:25:00,C100106,M100106,Card Not Present,762.83,AE,4,0.351,0,0,2,47.9,0.159,1,1,1,43.7,Medium,12,Confirmed Fraud
T100107,2025-01-05 07:12:00,C100107,M100107,Card Present,215.23,AE,6,0.297,0,4,5,1662.2,0.078,0,1,1,47.0,Medium,12,Blocked
T100108,2025-03-06 09:02:00,C100108,M100108,Card Present,45.95,US,20,0.215,0,2,3,2454.1,0.053,0,1,0,31.4,Review Later,48,False Positive
T100109,2025-04-24 06:18:00,C100109,M100109,P2P,14.29,AE,4,0.065,0,3,6,1327.5,0.413,1,1,0,28.6,Review Later,48,Cleared
T100110,2025-01-23 18:38:00,C100110,M100110,Card Not Present,111.91,NG,1,0.283,0,0,0,2139.3,0.247,1,1,1,46.8,Medium,12,Confirmed Fraud
T100111,2025-03-10 16:13:00,C100111,M100111,Card Present,21.84,SG,5,0.121,0,4,7,1282.7,0.251,1,1,0,27.9,Review Later,48,Cleared
T100112,2025-02-07 13:56:00,C100112,M100112,Wire,51.59,AE,17,0.482,0,0,4,1508.8,0.388,0,1,1,45.1,Medium,12,Confirmed Fraud
T100113,2025-01-30 17:50:00,C100113,M100113,Card Present,259.89,GB,2,0.339,0,1,4,1249.2,0.24,1,1,1,53.2,Medium,12,Confirmed Fraud
T100114,2025-02-12 12:06:00,C100114,M100114,Card Not Present,92.05,GB,9,0.455,0,4,7,696.1,0.165,0,1,1,45.7,Medium,12,Confirmed Fraud
T100115,2025-01-31 09:40:00,C100115,M100115,Card Not Present,30.31,IN,23,0.224,1,4,6,2836.2,0.228,1,1,1,31.4,Review Later,48,Confirmed Fraud
T100116,2025-04-30 12:28:00,C100116,M100116,Card Not Present,291.49,US,0,0.277,0,4,7,43.8,0.159,1,1,0,37.0,Review Later,48,False Positive
T100117,2025-03-25 16:35:00,C100117,M100117,P2P,718.91,AE,8,0.025,0,2,3,0.6,0.604,0,1,0,49.8,Medium,12,False Positive
T100118,2025-04-22 17:29:00,C100118,M100118,Card Not Present,112.9,US,4,0.512,0,3,5,2914.4,0.159,1,1,1,48.2,Medium,12,Confirmed Fraud
T100119,2025-01-05 04:14:00,C100119,M100119,P2P,218.92,SG,1,0.354,1,1,3,14.1,0.02,1,1,0,31.5,Review Later,48,Cleared
T100120,2025-02-05 11:45:00,C100120,M100120,P2P,574.77,NG,17,0.427,0,1,3,612.5,0.291,0,1,0,62.4,Medium,12,False Positive
T100121,2025-01-20 08:45:00,C100121,M100121,Card Present,322.72,IN,9,0.195,0,2,5,1774.7,0.354,0,1,0,56.9,Medium,12,False Positive
T100122,2025-04-23 16:57:00,C100122,M100122,P2P,19.55,SG,4,0.718,0,2,3,53.2,0.122,1,1,1,32.9,Review Later,48,Escalated
T100123,2025-04-10 12:29:00,C100123,M100123,Card Present,22.21,US,4,0.563,0,1,1,4252.7,0.191,1,1,0,33.2,Review Later,48,False Positive
T100124,2025-03-15 15:28:00,C100124,M100124,Card Not Present,47.19,BR,3,0.273,1,0,3,3917.3,0.451,1,1,0,42.6,Medium,12,Cleared
T100125,2025-01-03 19:47:00,C100125,M100125,P2P,346.45,SG,23,0.202,0,2,3,14.3,0.337,1,1,0,42.2,Medium,12,Cleared
T100126,2025-03-12 18:44:00,C100126,M100126,Card Present,110.17,AE,7,0.289,0,0,2,6840.0,0.111,0,1,0,43.4,Medium,12,Cleared
T100127,2025-03-18 05:13:00,C100127,M100127,P2P,63.63,US,1,0.77,0,2,4,1083.4,0.427,1,1,1,52.8,Medium,12,Blocked
T100128,2025-03-31 23:20:00,C100128,M100128,P2P,116.37,IN,4,0.517,1,3,6,2222.0,0.063,1,1,1,46.2,Medium,12,Confirmed Fraud
T100129,2025-01-22 11:54:00,C100129,M100129,Card Present,605.59,IN,9,0.185,0,0,2,4989.0,0.721,0,1,0,69.7,Medium,12,False Positive
T100130,2025-02-14 08:18:00,C100130,M100130,P2P,203.12,BR,11,0.245,0,0,3,1001.7,0.024,0,1,0,44.6,Medium,12,Cleared
T100131,2025-04-24 10:14:00,C100131,M100131,Card Not Present,498.18,NG,16,0.192,0,4,6,1377.1,0.176,0,1,1,55.6,Medium,12,Confirmed Fraud
T100132,2025-01-07 10:46:00,C100132,M100132,Card Present,27.89,NG,9,0.245,1,1,5,2394.7,0.163,0,1,0,29.4,Review Later,48,Cleared
T100133,2025-02-16 02:49:00,C100133,M100133,Card Present,12.89,NG,7,0.275,0,2,4,1198.2,0.353,0,1,0,29.9,Review Later,48,Cleared
T100134,2025-03-05 17:27:00,C100134,M100134,Card Present,305.88,AE,4,0.069,0,1,3,2050.1,0.183,1,1,0,50.2,Medium,12,False Positive
T100135,2025-01-05 20:35:00,C100135,M100135,Card Not Present,365.83,US,2,0.083,1,2,6,23.8,0.054,1,1,1,33.9,Review Later,48,Confirmed Fraud
T100136,2025-02-17 14:04:00,C100136,M100136,P2P,162.79,AE,14,0.222,1,1,2,1457.9,0.474,0,1,0,54.3,Medium,12,Cleared
T100137,2025-04-07 23:02:00,C100137,M100137,P2P,31.63,SG,1,0.779,0,1,5,16.6,0.458,1,1,0,30.7,Review Later,48,False Positive
T100138,2025-04-16 13:22:00,C100138,M100138,Card Not Present,179.06,NG,1,0.283,0,1,5,1416.5,0.067,1,1,0,45.7,Medium,12,False Positive
T100139,2025-01-30 23:25:00,C100139,M100139,P2P,43.69,GB,4,0.178,0,0,1,1182.2,0.309,1,1,0,36.5,Review Later,48,Cleared
T100140,2025-01-16 09:44:00,C100140,M100140,Card Not Present,88.78,AE,4,0.216,0,0,5,458.2,0.561,1,1,0,51.6,Medium,12,False Positive
T100141,2025-02-27 12:43:00,C100141,M100141,Online Banking,506.79,IN,0,0.434,1,4,5,5.5,0.165,1,1,1,44.0,Medium,12,Confirmed Fraud
T100142,2025-02-21 10:01:00,C100142,M100142,Card Not Present,106.99,DE,23,0.318,0,1,3,1122.7,0.673,1,1,0,57.6,Medium,12,Cleared
T100143,2025-02-16 18:37:00,C100143,M100143,P2P,140.82,DE,1,0.436,0,1,5,4221.9,0.068,1,1,1,46.5,Medium,12,Blocked
T100144,2025-04-10 01:07:00,C100144,M100144,Card Not Present,83.74,DE,4,0.606,1,1,3,1370.8,0.111,1,1,0,45.6,Medium,12,False Positive
T100145,2025-01-08 03:43:00,C100145,M100145,Card Not Present,56.04,IN,1,0.505,0,2,3,2065.7,0.376,1,1,0,46.3,Medium,12,False Positive
T100146,2025-04-01 17:46:00,C100146,M100146,Online Banking,9.49,BR,16,0.495,1,2,4,1650.1,0.1,0,1,0,26.1,Review Later,48,False Positive
T100147,2025-04-11 13:40:00,C100147,M100147,P2P,131.15,BR,1,0.34,0,2,4,1537.6,0.213,1,1,0,48.2,Medium,12,False Positive
T100148,2025-02-05 18:14:00,C100148,M100148,P2P,25.77,GB,8,0.225,0,6,7,4466.0,0.479,0,1,0,36.4,Review Later,48,False Positive
T100149,2025-02-23 02:39:00,C100149,M100149,Online Banking,49.63,AE,19,0.73,1,1,6,5498.7,0.319,0,1,0,46.7,Medium,12,False Positive
T100150,2025-03-15 06:26:00,C100150,M100150,P2P,205.59,DE,2,0.17,1,1,3,1016.1,0.251,1,1,0,49.2,Medium,12,False Positive
T100151,2025-02-20 23:26:00,C100151,M100151,Wire,63.18,NG,15,0.223,0,0,1,6089.2,0.302,0,1,0,41.3,Medium,12,False Positive
T100152,2025-04-20 23:09:00,C100152,M100152,Online Banking,19.41,US,3,0.577,1,2,7,3774.8,0.612,1,1,1,42.9,Medium,12,Confirmed Fraud
T100153,2025-03-02 00:03:00,C100153,M100153,P2P,90.0,IN,3,0.084,0,4,7,5971.5,0.228,1,1,0,41.5,Medium,12,False Positive
T100154,2025-04-15 08:10:00,C100154,M100154,Online Banking,21.35,GB,8,0.683,1,2,3,5877.4,0.247,0,1,0,36.1,Review Later,48,Cleared
T100155,2025-03-09 18:32:00,C100155,M100155,Card Present,18.06,NG,23,0.283,0,0,1,2322.8,0.269,1,1,0,29.4,Review Later,48,Cleared
T100156,2025-03-15 17:54:00,C100156,M100156,Card Not Present,419.54,NG,18,0.563,0,4,5,1922.5,0.364,0,1,0,64.7,Medium,12,Cleared
T100157,2025-03-19 03:24:00,C100157,M100157,Card Not Present,436.63,SG,9,0.372,1,1,3,4789.8,0.163,0,1,0,57.2,Medium,12,Cleared
T100158,2025-01-21 05:06:00,C100158,M100158,Online Banking,436.39,NG,7,0.241,0,1,2,4295.4,0.203,0,1,0,56.2,Medium,12,False Positive
T100159,2025-01-28 00:07:00,C100159,M100159,Card Not Present,12.08,DE,5,0.234,1,4,8,530.7,0.25,1,1,1,26.5,Review Later,48,Confirmed Fraud
T100160,2025-01-11 07:31:00,C100160,M100160,Card Not Present,32.41,BR,17,0.339,1,0,1,450.8,0.388,0,1,0,37.6,Review Later,48,False Positive
T100161,2025-03-02 13:16:00,C100161,M100161,Card Present,437.61,IN,15,0.253,0,0,1,1381.1,0.158,0,1,0,55.3,Medium,12,Cleared
T100162,2025-03-08 22:42:00,C100162,M100162,Card Not Present,269.13,DE,0,0.104,0,0,4,4148.7,0.072,1,1,0,46.2,Medium,12,False Positive
T100163,2025-04-21 04:16:00,C100163,M100163,Card Not Present,57.05,US,0,0.071,0,0,4,1825.6,0.502,1,1,0,43.1,Medium,12,Cleared
T100164,2025-02-17 21:10:00,C100164,M100164,Wire,240.03,US,5,0.634,1,0,2,60.4,0.513,1,1,0,48.4,Medium,12,False Positive
T100165,2025-01-10 21:55:00,C100165,M100165,Card Present,53.58,GB,9,0.444,0,1,2,8743.6,0.111,0,1,1,38.2,Review Later,48,Confirmed Fraud
T100166,2025-01-16 15:43:00,C100166,M100166,Card Not Present,720.46,US,18,0.488,0,3,5,1015.3,0.353,0,1,0,65.5,Medium,12,Cleared
T100167,2025-01-10 11:58:00,C100167,M100167,P2P,60.43,AE,3,0.292,0,1,3,1132.2,0.148,1,1,1,38.1,Review Later,48,Blocked
T100168,2025-04-24 14:45:00,C100168,M100168,P2P,73.43,AE,3,0.146,0,1,2,2271.2,0.079,1,1,0,36.4,Review Later,48,False Positive
T100169,2025-02-13 08:38:00,C100169,M100169,Card Present,36.21,GB,15,0.537,1,5,6,926.7,0.024,0,1,0,32.6,Review Later,48,False Positive
T100170,2025-01-13 15:19:00,C100170,M100170,Wire,11.51,DE,22,0.214,1,0,2,1238.8,0.247,0,1,1,25.9,Review Later,48,Blocked
