transaction_id,event_ts,customer_id,merchant_id,channel,transaction_amount_usd,txn_country,txn_hour,device_risk_score,new_device_flag,velocity_1h,velocity_24h,geo_distance_km,merchant_risk_score_x,is_night_flag,alert_generated,fraud_label,customer_match,merchant_match,age,tenure_months,segment,home_country,digital_only,kyc_risk_band,synthetic_identity_score,merchant_category,merchant_risk_score_y,channel_default,risk_score_v2,risk_category_v2,recommended_action,sla_priority,top_reason_codes,reason_code_1,reason_code_2,reason_code_3,reason_codes
T9052765,2025-01-19 22:51:00,C100035,M100035,P2P,45.46,NG,22,0.287,1,1,3,2286.3,0.24,0,0,0,True,True,63.0,1970-06-19,Affluent,US,0.0,Medium,0.225,Fuel,0.188,Card Present,74.90225,High Risk,Immediate escalation,Same day review,"['New device activity', 'High-risk transaction channel', 'Geographic anomaly']",New device activity,High-risk transaction channel,Geographic anomaly,New device activity | High-risk transaction channel | Geographic anomaly
T9040381,2025-04-10 14:24:00,C100036,M100036,Card Not Present,29.05,US,17,0.592,0,2,3,693.6,0.08,0,0,0,True,True,76.0,1970-07-09,Mass,US,1.0,Low,0.266,Travel,0.427,Card Not Present,24.064,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'High short-term transaction velocity', 'Geographic anomaly']",Elevated device risk,High short-term transaction velocity,Geographic anomaly,Elevated device risk | High short-term transaction velocity | Geographic anomaly
T9013337,2025-03-06 23:12:00,C100037,M100037,Wire,72.64,GB,7,0.178,0,0,1,1596.1,0.067,0,0,0,True,True,57.0,1970-01-11,Mass,US,1.0,Medium,0.107,Telecom,0.475,P2P,39.49605,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'Geographic anomaly']",High-risk transaction channel,Geographic anomaly,,High-risk transaction channel | Geographic anomaly
T9001097,2025-02-21 22:19:00,C100038,M100038,Wire,68.65,UK,21,0.323,1,1,7,39.8,0.427,0,0,0,True,True,48.0,1970-07-13,Mass,IN,0.0,Medium,0.138,Telecom,0.561,P2P,43.2418,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'High-risk transaction channel', 'Elevated merchant risk']",New device activity,High-risk transaction channel,Elevated merchant risk,New device activity | High-risk transaction channel | Elevated merchant risk
T9001422,2025-03-25 21:32:00,C100039,M100039,P2P,272.41,US,23,0.527,0,2,3,66.7,0.299,1,0,1,True,True,40.0,1970-05-09,Mass,IN,0.0,Low,0.159,Telecom,0.374,P2P,41.677099999999996,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel', 'Elevated device risk']",Night-time transaction,High-risk transaction channel,Elevated device risk,Night-time transaction | High-risk transaction channel | Elevated device risk
T9015983,2025-03-05 08:04:00,C100040,M100040,Card Present,12.51,BR,22,0.317,0,1,7,2728.9,0.469,0,0,0,True,True,73.0,1970-07-18,Affluent,US,1.0,Low,0.297,Luxury,0.261,Wire,50.5831,High Risk,Immediate escalation,Same day review,"['Elevated merchant risk', 'Geographic anomaly']",Elevated merchant risk,Geographic anomaly,,Elevated merchant risk | Geographic anomaly
T9027309,2025-01-20 05:16:00,C100041,M100041,Card Present,12.51,US,3,0.215,0,1,3,10.8,0.117,1,0,0,True,True,30.0,1970-06-09,Mass,US,1.0,Low,0.262,Fuel,0.479,Online Banking,19.7333,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Higher-risk merchant category']",Night-time transaction,Higher-risk merchant category,,Night-time transaction | Higher-risk merchant category
T9026640,2025-03-13 10:25:00,C100042,M100042,Card Not Present,61.07,US,19,0.106,0,1,3,17.3,0.218,0,0,0,True,True,72.0,1970-06-21,Mass,US,0.0,Low,0.593,Fuel,0.23,P2P,7.8187,Low Risk,Monitor / sample audit,Weekly monitoring,['Higher-risk merchant category'],Higher-risk merchant category,,,Higher-risk merchant category
T9049490,2025-01-08 23:20:00,C100043,M100043,P2P,35.85,US,21,0.161,1,1,6,2860.9,0.077,0,0,0,True,True,41.0,1970-03-01,Mass,SG,1.0,Medium,0.609,Grocery,0.44,Online Banking,84.9653,High Risk,Immediate escalation,Same day review,"['New device activity', 'High-risk transaction channel', 'Geographic anomaly']",New device activity,High-risk transaction channel,Geographic anomaly,New device activity | High-risk transaction channel | Geographic anomaly
T9050079,2025-04-13 06:20:00,C100044,M100044,Card Not Present,12.66,SG,11,0.407,0,0,4,26.6,0.241,0,0,0,True,True,39.0,1970-01-23,Affluent,AE,1.0,High,0.175,Gaming,0.074,Card Not Present,2.5369,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Higher-risk merchant category']",Elevated device risk,Higher-risk merchant category,,Elevated device risk | Higher-risk merchant category
T9059346,2025-02-12 19:36:00,C100045,M100045,Card Present,64.85,US,0,0.637,0,2,4,61.7,0.053,1,0,0,True,True,70.0,1970-03-17,SME,US,1.0,Low,0.103,Grocery,0.364,Wire,27.0927,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Elevated device risk', 'High short-term transaction velocity']",Night-time transaction,Elevated device risk,High short-term transaction velocity,Night-time transaction | Elevated device risk | High short-term transaction velocity
T9018590,2025-01-09 00:55:00,C100046,M100046,Card Present,28.13,AE,19,0.231,0,2,5,9.0,0.135,0,0,0,True,True,30.0,1970-07-15,Mass,UK,0.0,Medium,0.211,Fuel,0.122,Online Banking,14.713,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Higher-risk merchant category']",High short-term transaction velocity,Higher-risk merchant category,,High short-term transaction velocity | Higher-risk merchant category
T9061627,2025-04-21 22:01:00,C100047,M100047,Card Present,689.81,US,11,0.173,0,0,2,72.9,0.332,0,0,0,True,True,42.0,1970-02-16,Mass,US,0.0,Low,0.446,Fuel,0.075,Card Present,2.1865500000000004,Low Risk,Monitor / sample audit,Weekly monitoring,"['Geographic anomaly', 'Higher-risk merchant category']",Geographic anomaly,Higher-risk merchant category,,Geographic anomaly | Higher-risk merchant category
T9012235,2025-01-18 00:31:00,C100048,M100048,Card Not Present,55.51,US,0,0.352,0,0,0,7.6,0.378,1,0,0,True,True,59.0,1970-04-23,Mass,UK,1.0,Medium,0.275,Grocery,0.271,Card Present,12.258700000000001,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Elevated merchant risk']",Night-time transaction,Elevated merchant risk,,Night-time transaction | Elevated merchant risk
T9054492,2025-02-11 11:24:00,C100049,M100049,Card Not Present,21.29,AE,22,0.281,1,2,7,1.3,0.39,0,0,0,True,True,76.0,1970-06-18,Affluent,SG,0.0,Medium,0.163,Utilities,0.07,Card Not Present,33.64825,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Elevated merchant risk', 'High short-term transaction velocity']",New device activity,Elevated merchant risk,High short-term transaction velocity,New device activity | Elevated merchant risk | High short-term transaction velocity
T9022602,2025-03-11 23:26:00,C100050,M100050,Card Not Present,96.85,US,13,0.303,0,1,4,0.1,0.078,0,0,0,True,True,39.0,1970-01-09,Mass,US,1.0,Medium,0.133,Grocery,0.299,P2P,8.08895,Low Risk,Monitor / sample audit,Weekly monitoring,['No major behavioural trigger'],No major behavioural trigger,,,No major behavioural trigger
T9058682,2025-01-12 07:51:00,C100051,M100051,Card Not Present,28.4,IN,9,0.176,0,2,3,44.7,0.075,0,0,0,True,True,41.0,1970-03-10,Mass,IN,1.0,Low,0.269,Electronics,0.148,P2P,14.22575,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Geographic anomaly']",High short-term transaction velocity,Geographic anomaly,,High short-term transaction velocity | Geographic anomaly
T9034021,2025-01-12 13:42:00,C100052,M100052,Card Not Present,61.77,IN,5,0.285,1,0,9,14.2,0.561,1,0,0,True,True,76.0,1970-04-12,Affluent,UK,0.0,Low,0.295,Telecom,0.176,P2P,34.8684,Medium Risk,Analyst review,Review within 24 hours,"['New device activity', 'Night-time transaction', 'Elevated merchant risk']",New device activity,Night-time transaction,Elevated merchant risk,New device activity | Night-time transaction | Elevated merchant risk
T9001570,2025-04-20 09:23:00,C100053,M100053,P2P,114.81,UK,7,0.277,0,2,4,5.8,0.181,0,0,0,True,True,23.0,1970-07-10,Mass,AE,0.0,Medium,0.085,Gaming,0.377,Card Present,29.1834,Medium Risk,Analyst review,Review within 24 hours,"['High-risk transaction channel', 'High short-term transaction velocity', 'Higher-risk merchant category']",High-risk transaction channel,High short-term transaction velocity,Higher-risk merchant category,High-risk transaction channel | High short-term transaction velocity | Higher-risk merchant category
T9026138,2025-04-08 15:46:00,C100054,M100054,Online Banking,61.55,US,20,0.157,0,1,3,6.1,0.39,0,0,0,True,True,18.0,1970-07-21,Mass,CA,0.0,Low,0.379,Digital Wallet,0.163,Wire,7.6892499999999995,Low Risk,Monitor / sample audit,Weekly monitoring,['Elevated merchant risk'],Elevated merchant risk,,,Elevated merchant risk
T9009986,2025-03-17 04:31:00,C100055,M100055,Online Banking,227.53,US,4,0.475,0,0,0,14.8,0.309,1,0,0,False,True,,,,,,,,Marketplace,0.583,P2P,12.3871,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Elevated device risk']",Night-time transaction,Elevated device risk,,Night-time transaction | Elevated device risk
T9057514,2025-02-06 01:38:00,C100056,M100056,Card Present,180.02,IN,6,0.537,0,2,3,37.2,0.625,0,0,0,True,True,57.0,1970-04-15,Mass,US,1.0,Medium,0.037,Marketplace,0.263,Card Not Present,14.286,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated device risk', 'Elevated merchant risk', 'High short-term transaction velocity']",Elevated device risk,Elevated merchant risk,High short-term transaction velocity,Elevated device risk | Elevated merchant risk | High short-term transaction velocity
T9032378,2025-01-17 18:52:00,C100057,M100057,Card Not Present,55.34,SG,6,0.138,0,2,3,2.1,0.135,0,0,0,True,True,64.0,1970-06-14,Mass,US,0.0,Low,0.08,Utilities,0.175,Wire,13.58625,Low Risk,Monitor / sample audit,Weekly monitoring,"['High short-term transaction velocity', 'Higher-risk merchant category']",High short-term transaction velocity,Higher-risk merchant category,,High short-term transaction velocity | Higher-risk merchant category
T9029310,2025-03-23 22:15:00,C100058,M100058,Card Not Present,249.08,IN,0,0.248,0,0,1,8.7,0.686,1,0,0,True,True,58.0,1970-04-20,Mass,US,1.0,Medium,0.201,Gaming,0.024,P2P,12.795399999999999,Low Risk,Monitor / sample audit,Weekly monitoring,"['Night-time transaction', 'Elevated merchant risk', 'Higher-risk merchant category']",Night-time transaction,Elevated merchant risk,Higher-risk merchant category,Night-time transaction | Elevated merchant risk | Higher-risk merchant category
T9011987,2025-01-25 17:57:00,C100059,M100059,Card Present,298.1,IN,11,0.362,0,0,2,28.7,0.442,0,0,0,True,True,26.0,1970-05-20,Mass,CA,0.0,Low,0.079,Utilities,0.216,Card Present,1.5873,Low Risk,Monitor / sample audit,Weekly monitoring,"['Elevated merchant risk', 'Higher-risk merchant category']",Elevated merchant risk,Higher-risk merchant category,,Elevated merchant risk | Higher-risk merchant category
T9011200,2025-03-16 20:10:00,C100060,M100060,Card Not Present,16.76,AE,18,0.384,0,2,6,8.5,0.269,0,0,0,True,True,51.0,1970-07-16,Mass,SG,0.0,Low,0.039,Digital Wallet,0.135,Online Banking,15.26385,Low Risk,Monitor / sample audit,Weekly monitoring,['High short-term transaction velocity'],High short-term transaction velocity,,,High short-term transaction velocity
T9031071,2025-03-07 08:43:00,C100061,M100061,Wire,63.66,US,15,0.223,0,1,3,7.2,0.39,0,0,0,True,True,43.0,1970-02-27,Affluent,US,0.0,Medium,0.057,Grocery,0.183,P2P,22.72225,Low Risk,Monitor / sample audit,Weekly monitoring,"['High-risk transaction channel', 'Elevated merchant risk']",High-risk transaction channel,Elevated merchant risk,,High-risk transaction channel | Elevated merchant risk
T9022590,2025-03-19 23:34:00,C100062,M100062,P2P,10.94,AE,0,0.21,0,2,5,51.7,0.604,1,0,0,True,True,76.0,1970-03-12,Affluent,US,1.0,Low,0.003,Luxury,0.155,Online Banking,42.4186,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'High-risk transaction channel', 'Elevated merchant risk']",Night-time transaction,High-risk transaction channel,Elevated merchant risk,Night-time transaction | High-risk transaction channel | Elevated merchant risk
T9058149,2025-04-06 10:58:00,C100063,M100063,Card Present,119.67,IN,13,0.534,0,1,4,1861.8,0.261,0,0,1,True,True,21.0,1970-01-23,Mass,US,0.0,Low,0.256,Gaming,0.295,Card Present,36.09965,Medium Risk,Analyst review,Review within 24 hours,"['Elevated device risk', 'Geographic anomaly', 'Higher-risk merchant category']",Elevated device risk,Geographic anomaly,Higher-risk merchant category,Elevated device risk | Geographic anomaly | Higher-risk merchant category
T9015363,2025-03-18 03:57:00,C100064,M100064,Online Banking,37.18,US,3,0.47,0,2,5,6.8,0.286,1,0,0,False,True,,,,,,,,Utilities,0.111,Card Not Present,26.7624,Medium Risk,Analyst review,Review within 24 hours,"['Night-time transaction', 'Elevated device risk', 'High short-term transaction velocity']",Night-time transaction,Elevated device risk,High short-term transaction velocity,Night-time transaction | Elevated device risk | High short-term transaction velocity
