transaction_id,event_ts,customer_id,merchant_id,channel,transaction_amount_usd,txn_country,txn_hour,device_risk_score,new_device_flag,velocity_1h,velocity_24h,geo_distance_km,merchant_risk_score,is_night_flag,alert_generated,fraud_label
T9004859,2025-01-24 04:11:00,C100033,M100033,Card Not Present,17.55,NG,7,0.313,1,1,6,851.6,0.413,0,0,0
T9012701,2025-03-23 16:11:00,C100034,M100034,Card Present,34.8,US,14,0.435,0,1,3,62.0,0.291,0,0,0
T9052765,2025-01-19 22:51:00,C100035,M100035,P2P,45.46,NG,22,0.287,1,1,3,2286.3,0.24,0,0,0
T9040381,2025-04-10 14:24:00,C100036,M100036,Card Not Present,29.05,US,17,0.592,0,2,3,693.6,0.08,0,0,0
T9013337,2025-03-06 23:12:00,C100037,M100037,Wire,72.64,GB,7,0.178,0,0,1,1596.1,0.067,0,0,0
T9001097,2025-02-21 22:19:00,C100038,M100038,Wire,68.65,UK,21,0.323,1,1,7,39.8,0.427,0,0,0
T9001422,2025-03-25 21:32:00,C100039,M100039,P2P,272.41,US,23,0.527,0,2,3,66.7,0.299,1,0,1
T9015983,2025-03-05 08:04:00,C100040,M100040,Card Present,12.51,BR,22,0.317,0,1,7,2728.9,0.469,0,0,0
T9027309,2025-01-20 05:16:00,C100041,M100041,Card Present,12.51,US,3,0.215,0,1,3,10.8,0.117,1,0,0
T9026640,2025-03-13 10:25:00,C100042,M100042,Card Not Present,61.07,US,19,0.106,0,1,3,17.3,0.218,0,0,0
T9049490,2025-01-08 23:20:00,C100043,M100043,P2P,35.85,US,21,0.161,1,1,6,2860.9,0.077,0,0,0
T9050079,2025-04-13 06:20:00,C100044,M100044,Card Not Present,12.66,SG,11,0.407,0,0,4,26.6,0.241,0,0,0
T9059346,2025-02-12 19:36:00,C100045,M100045,Card Present,64.85,US,0,0.637,0,2,4,61.7,0.053,1,0,0
T9018590,2025-01-09 00:55:00,C100046,M100046,Card Present,28.13,AE,19,0.231,0,2,5,9.0,0.135,0,0,0
T9061627,2025-04-21 22:01:00,C100047,M100047,Card Present,689.81,US,11,0.173,0,0,2,72.9,0.332,0,0,0
T9012235,2025-01-18 00:31:00,C100048,M100048,Card Not Present,55.51,US,0,0.352,0,0,0,7.6,0.378,1,0,0
T9054492,2025-02-11 11:24:00,C100049,M100049,Card Not Present,21.29,AE,22,0.281,1,2,7,1.3,0.39,0,0,0
T9022602,2025-03-11 23:26:00,C100050,M100050,Card Not Present,96.85,US,13,0.303,0,1,4,0.1,0.078,0,0,0
T9058682,2025-01-12 07:51:00,C100051,M100051,Card Not Present,28.4,IN,9,0.176,0,2,3,44.7,0.075,0,0,0
T9034021,2025-01-12 13:42:00,C100052,M100052,Card Not Present,61.77,IN,5,0.285,1,0,9,14.2,0.561,1,0,0
T9001570,2025-04-20 09:23:00,C100053,M100053,P2P,114.81,UK,7,0.277,0,2,4,5.8,0.181,0,0,0
T9026138,2025-04-08 15:46:00,C100054,M100054,Online Banking,61.55,US,20,0.157,0,1,3,6.1,0.39,0,0,0
T9009986,2025-03-17 04:31:00,C100055,M100055,Online Banking,227.53,US,4,0.475,0,0,0,14.8,0.309,1,0,0
T9057514,2025-02-06 01:38:00,C100056,M100056,Card Present,180.02,IN,6,0.537,0,2,3,37.2,0.625,0,0,0
T9032378,2025-01-17 18:52:00,C100057,M100057,Card Not Present,55.34,SG,6,0.138,0,2,3,2.1,0.135,0,0,0
T9029310,2025-03-23 22:15:00,C100058,M100058,Card Not Present,249.08,IN,0,0.248,0,0,1,8.7,0.686,1,0,0
T9011987,2025-01-25 17:57:00,C100059,M100059,Card Present,298.1,IN,11,0.362,0,0,2,28.7,0.442,0,0,0
T9011200,2025-03-16 20:10:00,C100060,M100060,Card Not Present,16.76,AE,18,0.384,0,2,6,8.5,0.269,0,0,0
T9031071,2025-03-07 08:43:00,C100061,M100061,Wire,63.66,US,15,0.223,0,1,3,7.2,0.39,0,0,0
T9022590,2025-03-19 23:34:00,C100062,M100062,P2P,10.94,AE,0,0.21,0,2,5,51.7,0.604,1,0,0
T9058149,2025-04-06 10:58:00,C100063,M100063,Card Present,119.67,IN,13,0.534,0,1,4,1861.8,0.261,0,0,1
T9015363,2025-03-18 03:57:00,C100064,M100064,Online Banking,37.18,US,3,0.47,0,2,5,6.8,0.286,1,0,0
T9000433,2025-04-16 13:25:00,C100065,M100065,Card Not Present,210.19,IN,14,0.306,0,2,4,21.6,0.425,0,0,0
T9042702,2025-01-24 02:34:00,C100066,M100066,Card Present,13.79,IN,6,0.352,1,2,5,6.4,0.332,0,0,0
T9057297,2025-01-13 14:15:00,C100067,M100067,Card Not Present,86.82,US,15,0.437,0,1,2,45.4,0.309,0,0,0
T9004095,2025-01-31 09:40:00,C100068,M100068,Card Not Present,30.31,IN,23,0.224,1,4,6,2836.2,0.228,1,1,1
T9049600,2025-03-26 22:51:00,C100069,M100069,Online Banking,97.55,US,0,0.422,0,0,3,0.6,0.078,1,0,0
T9015006,2025-01-27 22:57:00,C100070,M100070,Online Banking,69.54,DE,10,0.219,1,0,1,385.0,0.054,0,0,0
T9021549,2025-02-12 00:09:00,C100071,M100071,P2P,169.91,US,17,0.356,0,2,5,8.1,0.134,0,0,0
T9032288,2025-01-25 02:11:00,C100072,M100072,Card Present,327.15,UK,4,0.145,0,1,4,15.7,0.469,1,0,1
T9063389,2025-01-21 05:41:00,C100073,M100073,Wire,143.75,AE,21,0.215,0,1,3,541.0,0.068,0,0,0
T9028269,2025-01-30 06:36:00,C100074,M100074,Card Present,48.23,US,12,0.385,0,3,7,4.9,0.37,0,0,0
T9020793,2025-01-18 16:50:00,C100075,M100075,P2P,183.8,US,17,0.329,0,0,3,11.2,0.415,0,0,0
T9064566,2025-04-06 16:47:00,C100076,M100076,Card Present,238.46,UK,12,0.065,0,0,1,42.2,0.068,0,0,0
T9016861,2025-03-21 06:32:00,C100077,M100077,Card Present,71.62,AE,12,0.079,1,0,2,16.9,0.415,0,0,0
T9018763,2025-01-08 23:30:00,C100078,M100078,Card Present,40.84,US,22,0.455,0,1,4,15.8,0.282,0,0,0
T9004563,2025-04-05 07:12:00,C100079,M100079,Card Present,7.19,US,7,0.223,0,1,1,30.9,0.137,0,0,0
T9030757,2025-01-09 08:11:00,C100080,M100080,Card Present,71.27,IN,0,0.245,0,0,3,26.5,0.292,1,0,0
T9004879,2025-01-30 23:19:00,C100081,M100081,Card Not Present,35.87,US,0,0.216,0,0,2,24.9,0.319,1,0,0
T9064286,2025-02-10 01:09:00,C100082,M100082,Card Not Present,13.33,US,18,0.164,0,0,5,81.0,0.528,0,0,0
T9039013,2025-02-13 00:05:00,C100083,M100083,Card Not Present,19.32,AE,13,0.266,1,0,3,3.3,0.37,0,0,0
T9012956,2025-01-04 03:02:00,C100084,M100084,Card Not Present,92.05,IN,5,0.229,0,0,2,16211.8,0.183,1,0,0
T9063867,2025-03-06 09:29:00,C100085,M100085,Card Present,119.64,AE,16,0.336,1,0,2,22.3,0.374,0,0,0
T9005394,2025-03-01 00:08:00,C100086,M100086,Card Not Present,53.52,US,18,0.424,0,0,1,5.5,0.337,0,0,0
T9001945,2025-02-06 12:33:00,C100087,M100087,Online Banking,49.95,AE,21,0.31,0,1,2,31.7,0.474,0,0,0
T9029223,2025-03-23 20:25:00,C100088,M100088,P2P,44.16,US,7,0.622,0,2,5,12.7,0.117,0,0,0
T9054049,2025-04-09 04:46:00,C100089,M100089,Card Present,100.99,US,10,0.206,0,0,2,22.3,0.135,0,0,0
T9000273,2025-01-24 08:05:00,C100090,M100090,Card Present,170.59,US,16,0.234,0,0,3,19.2,0.083,0,0,0
T9018985,2025-01-25 23:09:00,C100091,M100091,P2P,12.31,AE,1,0.3,0,0,2,44.2,0.187,1,0,0
T9006687,2025-03-29 23:00:00,C100092,M100092,Card Not Present,17.27,SG,21,0.121,0,1,6,3.2,0.148,0,0,0
T9006328,2025-04-26 00:04:00,C100093,M100093,Card Not Present,47.61,US,2,0.242,0,2,5,3.7,0.147,1,0,0
T9032529,2025-03-13 21:57:00,C100094,M100094,Card Present,68.5,US,7,0.106,0,2,5,20.2,0.165,0,0,0
T9038254,2025-02-22 04:18:00,C100095,M100095,Card Not Present,136.73,IN,0,0.159,0,0,3,2.3,0.66,1,0,0
T9014811,2025-01-27 00:45:00,C100096,M100096,Card Not Present,60.23,US,11,0.171,0,0,5,33.4,0.282,0,0,0
T9040384,2025-01-10 05:05:00,C100097,M100097,Card Present,16.6,AE,22,0.076,0,2,6,2.9,0.427,0,0,0
T9045293,2025-04-28 14:54:00,C100098,M100098,Card Present,38.82,US,11,0.143,0,0,2,1.9,0.209,0,0,0
T9041544,2025-04-17 12:16:00,C100099,M100099,P2P,24.01,US,17,0.244,0,0,3,25.6,0.181,0,0,0
T9041193,2025-01-31 06:05:00,C100100,M100100,P2P,297.25,IN,5,0.125,1,4,7,8.8,0.561,1,1,1
T9054643,2025-01-31 04:50:00,C100101,M100101,Card Present,91.13,US,11,0.428,0,2,5,41.8,0.206,0,0,0
T9006650,2025-03-18 22:13:00,C100102,M100102,Card Not Present,30.52,US,4,0.292,0,2,3,1985.6,0.269,1,0,0
T9040987,2025-01-15 02:09:00,C100103,M100103,Card Not Present,77.54,US,15,0.612,0,2,5,16.2,0.479,0,0,0
T9047787,2025-03-31 17:30:00,C100104,M100104,P2P,66.3,US,21,0.619,0,0,1,25.5,0.091,0,0,0
T9053142,2025-04-08 18:43:00,C100105,M100105,Card Not Present,318.81,US,21,0.373,0,1,2,5.8,0.474,0,0,0
T9004187,2025-02-12 04:46:00,C100106,M100106,Card Not Present,75.34,DE,18,0.425,1,0,3,2690.7,0.198,0,0,0
T9050629,2025-03-25 00:30:00,C100107,M100107,Online Banking,20.48,US,12,0.452,0,1,2,49.2,0.366,0,0,0
T9031874,2025-04-15 00:34:00,C100108,M100108,Card Not Present,12.2,IN,4,0.064,0,2,3,5.8,0.068,1,0,0
T9007278,2025-03-19 07:58:00,C100109,M100109,Online Banking,86.4,UK,20,0.317,0,3,4,14.6,0.388,0,0,0
T9045589,2025-02-06 04:40:00,C100110,M100110,Card Present,25.32,UK,12,0.276,0,0,3,1.2,0.063,0,0,0
T9021373,2025-04-20 14:54:00,C100111,M100111,Wire,16.01,US,6,0.381,0,1,5,91.3,0.091,0,0,0
T9050299,2025-04-10 19:37:00,C100112,M100112,Online Banking,16.36,AE,10,0.159,0,2,3,217.6,0.097,0,0,0
T9036200,2025-01-30 05:48:00,C100113,M100113,P2P,67.0,AE,20,0.397,0,0,4,70.8,0.138,0,0,0
T9052694,2025-02-14 02:35:00,C100114,M100114,Card Not Present,6.48,SG,14,0.08,0,0,2,20.4,0.109,0,0,0
T9028200,2025-03-07 04:37:00,C100115,M100115,Card Present,18.04,US,14,0.166,1,1,3,7.4,0.168,0,0,0
T9062867,2025-02-16 03:19:00,C100116,M100116,Card Not Present,145.9,US,11,0.271,0,3,3,29.1,0.024,0,0,0
T9061972,2025-02-12 15:49:00,C100117,M100117,Online Banking,11.4,IN,2,0.309,0,1,2,20.9,0.449,1,0,0
T9026003,2025-04-06 11:46:00,C100118,M100118,Card Present,63.1,SG,14,0.349,0,0,3,1.6,0.163,0,0,0
T9051497,2025-01-17 04:14:00,C100119,M100119,P2P,51.57,IN,12,0.341,0,1,3,1.6,0.117,0,0,0
T9029976,2025-03-05 21:35:00,C100120,M100120,P2P,40.64,UK,3,0.37,0,2,4,30.9,0.366,1,0,0
T9037163,2025-01-23 09:34:00,C100121,M100121,Card Present,105.26,IN,18,0.292,0,0,3,40.8,0.143,0,0,0
T9058204,2025-03-02 17:25:00,C100122,M100122,Card Present,77.51,CA,8,0.634,1,3,6,18.2,0.121,0,0,0
T9040669,2025-02-10 06:44:00,C100123,M100123,P2P,104.53,US,13,0.019,0,2,6,21.7,0.191,0,0,0
T9040010,2025-01-11 22:52:00,C100124,M100124,Card Not Present,158.19,GB,13,0.536,0,2,4,544.7,0.475,0,0,0
T9019815,2025-02-28 20:51:00,C100125,M100125,P2P,32.7,US,12,0.608,0,0,1,13.4,0.449,0,0,0
T9047092,2025-01-05 14:53:00,C100126,M100126,Card Present,20.31,GB,14,0.085,0,2,3,4284.4,0.309,0,0,0
T9040467,2025-04-09 14:52:00,C100127,M100127,Card Present,120.32,US,17,0.545,0,1,5,1.3,0.024,0,0,0
T9038028,2025-03-22 05:43:00,C100128,M100128,Card Not Present,58.24,US,1,0.763,0,1,5,1.9,0.365,1,0,0
T9005927,2025-01-01 14:32:00,C100129,M100129,Card Present,11.41,US,17,0.495,0,0,4,40.8,0.183,0,0,0
T9048666,2025-04-05 13:31:00,C100130,M100130,Card Not Present,72.27,IN,12,0.127,0,0,2,43.1,0.632,0,0,0
T9019415,2025-01-20 07:19:00,C100131,M100131,Card Present,180.8,IN,2,0.335,0,1,2,11.7,0.449,1,0,0
T9051579,2025-03-20 07:38:00,C100132,M100132,Card Not Present,120.75,SG,6,0.131,0,2,2,1998.9,0.136,0,0,0
T9050693,2025-04-10 08:53:00,C100133,M100133,Card Present,67.62,US,23,0.183,0,1,4,51.5,0.449,1,0,0
T9004245,2025-04-23 04:52:00,C100134,M100134,Card Not Present,99.7,AE,4,0.292,0,0,3,5.9,0.072,1,0,0
T9045933,2025-04-30 11:44:00,C100135,M100135,Card Not Present,57.82,AE,7,0.274,0,0,5,2.1,0.052,0,0,0
T9033929,2025-01-25 03:05:00,C100136,M100136,Card Present,427.52,US,3,0.509,1,0,2,3.8,0.478,1,0,0
T9029130,2025-01-16 04:50:00,C100137,M100137,Card Present,26.96,BR,16,0.325,0,0,2,290.8,0.176,0,0,0
T9061687,2025-03-10 13:59:00,C100138,M100138,Card Not Present,302.01,SG,9,0.258,0,1,3,24.6,0.07,0,0,0
T9060021,2025-02-07 07:02:00,C100139,M100139,Card Not Present,75.67,US,3,0.135,0,1,7,6.4,0.094,1,0,0
T9008815,2025-04-30 08:02:00,C100140,M100140,Online Banking,36.19,UK,0,0.297,0,0,1,39.0,0.193,1,0,0
T9012351,2025-04-23 20:46:00,C100141,M100141,Card Not Present,82.09,US,3,0.243,0,1,4,69.2,0.249,1,0,0
T9048211,2025-01-24 17:37:00,C100142,M100142,Card Present,79.16,US,23,0.439,0,2,5,6.0,0.074,1,0,0
T9029861,2025-02-09 21:02:00,C100143,M100143,Card Not Present,147.02,US,8,0.096,0,1,4,3.0,0.052,0,0,0
T9046400,2025-01-10 02:48:00,C100144,M100144,P2P,102.4,SG,8,0.547,0,2,3,32.3,0.193,0,0,0
T9005199,2025-03-20 19:55:00,C100145,M100145,Card Present,22.63,CA,22,0.226,0,0,5,2.6,0.08,0,0,0
T9022227,2025-02-04 18:46:00,C100146,M100146,Card Present,168.77,US,4,0.083,0,0,4,7.6,0.218,1,0,0
T9031888,2025-03-05 16:02:00,C100147,M100147,Card Present,224.92,SG,0,0.28,0,1,1,31.2,0.45,1,0,0
T9034439,2025-01-16 04:07:00,C100148,M100148,Card Not Present,1311.78,AE,8,0.658,0,2,4,44.8,0.122,0,0,0
T9010021,2025-04-20 22:16:00,C100149,M100149,Card Present,10.06,US,21,0.185,0,0,2,41.0,0.378,0,0,0
T9017109,2025-01-24 05:55:00,C100150,M100150,Card Present,57.06,UK,22,0.357,0,0,4,0.4,0.261,0,0,0
T9021701,2025-01-02 15:39:00,C100151,M100151,P2P,11.58,SG,0,0.404,0,2,5,28.8,0.377,1,0,0
T9051085,2025-01-21 14:25:00,C100152,M100152,Online Banking,410.0,CA,7,0.244,0,1,2,20.4,0.442,0,0,0
T9017892,2025-04-13 22:22:00,C100153,M100153,P2P,174.3,IN,7,0.433,0,2,4,12.4,0.068,0,0,0
T9044056,2025-02-14 18:20:00,C100154,M100154,Card Present,39.11,AE,0,0.351,1,0,4,12.9,0.292,1,0,0
T9043720,2025-01-29 19:42:00,C100155,M100155,Card Present,60.05,US,8,0.137,0,1,2,12.1,0.309,0,0,0
T9011947,2025-04-02 17:25:00,C100156,M100156,Card Not Present,132.9,UK,15,0.509,0,0,0,4.7,0.44,0,0,0
T9025726,2025-04-07 10:59:00,C100157,M100157,Card Not Present,43.19,UK,13,0.168,0,0,0,12.3,0.187,0,0,0
T9059149,2025-02-06 16:56:00,C100158,M100158,Card Present,8.55,AE,22,0.333,0,1,5,11.2,0.148,0,0,0
T9000754,2025-03-30 05:59:00,C100159,M100159,Card Not Present,90.74,US,18,0.121,0,2,4,32.2,0.155,0,0,0
T9000251,2025-03-07 03:31:00,C100160,M100160,Card Not Present,10.38,US,5,0.622,1,1,2,8.8,0.374,1,0,0
T9040813,2025-03-31 14:28:00,C100161,M100161,Online Banking,30.41,AE,21,0.369,0,0,2,36.3,0.148,0,0,0
T9051943,2025-01-27 00:07:00,C100162,M100162,Card Present,33.88,US,11,0.456,1,4,5,4.0,0.583,0,0,0
T9036162,2025-04-27 12:15:00,C100163,M100163,Wire,35.84,US,1,0.126,0,0,2,10.8,0.148,1,0,0
T9058553,2025-03-09 03:18:00,C100164,M100164,Online Banking,53.83,AE,6,0.289,1,2,2,123.0,0.094,0,0,0
T9017037,2025-02-15 06:45:00,C100165,M100165,Online Banking,16.28,UK,5,0.229,0,2,5,11.1,0.609,1,0,0
T9040562,2025-04-01 09:18:00,C100166,M100166,P2P,86.4,AE,21,0.241,0,0,4,8.0,0.374,0,0,0
T9049598,2025-01-21 09:04:00,C100167,M100167,Online Banking,164.87,CA,18,0.339,0,1,4,56.5,0.02,0,0,0
T9012831,2025-03-18 03:18:00,C100168,M100168,P2P,31.93,IN,16,0.334,1,1,7,2636.5,0.291,0,1,0
T9031109,2025-03-05 20:05:00,C100169,M100169,Card Present,201.94,US,0,0.106,1,3,3,51.7,0.101,1,0,0
T9023094,2025-02-15 14:32:00,C100170,M100170,Card Present,13.72,CA,16,0.237,0,2,4,23.5,0.058,0,0,0
T9003335,2025-01-20 16:01:00,C100171,M100171,Card Not Present,127.79,BR,23,0.098,1,1,1,649.6,0.319,1,0,0
T9003431,2025-04-05 11:57:00,C100172,M100172,Card Not Present,47.87,AE,18,0.225,0,0,1,20.6,0.313,0,0,0
T9059941,2025-01-26 12:27:00,C100173,M100173,P2P,20.23,UK,14,0.284,0,2,7,8.7,0.08,0,0,0
T9029220,2025-02-10 10:18:00,C100174,M100174,P2P,57.22,US,20,0.142,0,0,3,3.8,0.198,0,0,0
T9035700,2025-03-23 00:38:00,C100175,M100175,Card Not Present,86.66,SG,2,0.576,0,0,2,0.4,0.578,1,0,0
T9059931,2025-04-14 01:24:00,C100176,M100176,Wire,29.06,US,16,0.161,1,2,7,5.1,0.304,0,0,0
T9021967,2025-03-03 12:23:00,C100177,M100177,Online Banking,101.0,UK,12,0.725,0,1,3,29.4,0.191,0,0,0
T9046704,2025-02-01 05:57:00,C100178,M100178,Card Not Present,509.28,IN,19,0.292,0,0,5,30.2,0.244,0,0,0
T9041408,2025-03-16 10:04:00,C100179,M100179,Card Not Present,80.07,AE,15,0.552,0,1,3,0.8,0.121,0,0,0
T9058957,2025-01-28 20:16:00,C100180,M100180,P2P,48.62,US,10,0.124,0,0,3,31.0,0.191,0,0,0
T9030878,2025-02-27 19:07:00,C100181,M100181,Online Banking,87.06,US,10,0.365,0,3,5,22.2,0.308,0,0,0
T9020083,2025-02-28 07:38:00,C100182,M100182,P2P,17.93,AE,1,0.45,1,0,0,3.8,0.075,1,0,1
T9019271,2025-04-21 18:31:00,C100183,M100183,Card Not Present,193.43,SG,21,0.374,0,3,6,43.0,0.201,0,0,0
T9049263,2025-04-25 23:18:00,C100184,M100184,Card Present,14.16,US,0,0.25,0,3,5,9.8,0.083,1,0,0
T9039999,2025-04-21 20:36:00,C100185,M100185,Card Present,31.23,AE,19,0.197,0,1,2,189.8,0.508,0,0,0
T9020367,2025-03-20 08:26:00,C100186,M100186,Card Present,455.69,DE,9,0.339,0,0,1,2270.3,0.609,0,1,0
T9027510,2025-03-10 10:05:00,C100187,M100187,P2P,17.61,IN,0,0.224,0,3,5,3.8,0.171,1,0,0
T9009720,2025-02-06 17:58:00,C100188,M100188,Online Banking,271.43,UK,6,0.274,0,2,4,60.8,0.191,0,0,0
T9011077,2025-01-07 19:08:00,C100189,M100189,P2P,45.5,US,21,0.253,0,1,3,62.5,0.304,0,0,0
T9062973,2025-03-08 23:59:00,C100190,M100190,Card Not Present,26.84,US,10,0.343,0,1,5,38.0,0.121,0,0,0
T9017353,2025-01-12 05:06:00,C100191,M100191,Card Not Present,143.38,DE,17,0.031,1,1,2,636.2,0.309,0,0,0
T9015277,2025-04-27 23:17:00,C100192,M100192,Card Not Present,79.88,UK,8,0.091,0,1,3,13.3,0.148,0,0,0
T9017777,2025-03-28 22:56:00,C100193,M100193,Online Banking,58.37,US,10,0.367,1,0,3,40.5,0.221,0,0,0
T9022964,2025-03-28 00:14:00,C100194,M100194,Card Present,26.26,UK,20,0.246,1,2,5,72.7,0.363,0,0,0
T9038499,2025-01-07 01:07:00,C100195,M100195,Card Present,4.02,IN,18,0.463,0,1,4,1733.3,0.319,0,0,0
T9050686,2025-04-02 12:40:00,C100196,M100196,Card Not Present,43.4,US,0,0.178,0,0,3,3.0,0.319,1,0,0
T9025697,2025-02-04 09:11:00,C100197,M100197,Online Banking,375.78,US,17,0.179,0,0,2,19.3,0.341,0,0,0
T9057778,2025-02-23 17:16:00,C100198,M100198,Card Not Present,72.43,US,2,0.197,0,0,0,11.0,0.281,1,0,0
T9016726,2025-02-14 06:48:00,C100199,M100199,P2P,64.92,UK,17,0.175,0,1,5,3.1,0.075,0,0,0
T9051004,2025-01-20 13:42:00,C100200,M100200,Card Present,8.08,AE,7,0.093,0,3,9,3.9,0.138,0,0,0
T9056684,2025-03-29 05:33:00,C100201,M100201,Wire,47.3,US,2,0.249,0,0,2,9.0,0.247,1,0,0
T9033242,2025-01-30 13:15:00,C100202,M100202,Online Banking,37.47,CA,21,0.269,1,0,3,20.5,0.083,0,0,0
T9043515,2025-01-27 00:12:00,C100203,M100203,Card Not Present,738.39,US,21,0.353,1,1,4,5.0,0.067,0,0,0
T9015815,2025-03-25 07:12:00,C100204,M100204,Card Not Present,127.08,SG,18,0.068,0,3,3,22.3,0.234,0,0,0
T9015443,2025-01-06 00:57:00,C100205,M100205,Card Not Present,143.65,SG,0,0.55,0,2,6,24.7,0.181,1,0,0
T9045582,2025-04-11 14:20:00,C100206,M100206,Card Not Present,94.36,AE,1,0.516,0,0,3,0.8,0.377,1,0,0
T9040374,2025-02-17 21:41:00,C100207,M100207,Online Banking,49.9,US,1,0.381,0,1,2,21.5,0.068,1,0,0
T9044675,2025-02-16 00:07:00,C100208,M100208,Wire,19.14,DE,0,0.15,0,0,4,3068.2,0.07,1,0,1
T9026291,2025-03-24 04:33:00,C100209,M100209,Online Banking,119.25,US,13,0.083,0,2,4,3.4,0.218,0,0,0
T9055640,2025-03-24 00:15:00,C100210,M100210,Card Present,45.94,US,0,0.288,1,0,1,13.8,0.609,1,0,0
T9001400,2025-04-17 07:58:00,C100211,M100211,Online Banking,214.23,US,2,0.153,0,4,4,20.7,0.097,1,0,0
T9060598,2025-03-30 17:45:00,C100212,M100212,P2P,814.65,AE,6,0.166,1,0,4,30.9,0.158,0,1,1
T9058375,2025-02-09 00:09:00,C100213,M100213,Card Present,41.63,US,17,0.463,0,2,2,26.8,0.075,0,0,0
